	ECM8000_TF_0_30		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-24.14	171.94	0.93
5.859375	-20.37	158.80	0.81
8.789063	-18.18	148.34	0.81
11.718750	-11.58	139.46	0.95
14.648438	-6.19	101.16	0.98
17.578125	-6.16	101.09	0.99
20.507813	-5.85	100.93	0.98
23.437500	-3.28	67.98	0.97
26.367188	-3.09	69.36	0.99
29.296875	-2.91	61.23	0.98
32.226563	-2.11	54.13	0.99
35.156250	-2.05	52.90	1.00
38.085938	-1.70	52.16	1.00
41.015625	-1.68	49.53	1.00
43.945313	-1.65	44.28	1.00
46.875000	-1.61	40.01	1.00
49.804688	-1.24	39.29	1.00
52.734375	-1.18	36.46	1.00
55.664063	-1.13	36.01	1.00
58.593750	-1.21	33.23	1.00
61.523438	-1.03	31.85	1.00
64.453125	-0.97	30.75	1.00
67.382813	-1.06	28.66	1.00
70.312500	-0.91	28.48	1.00
73.242188	-0.90	26.47	1.00
76.171875	-0.85	25.58	1.00
79.101563	-0.84	25.04	1.00
82.031250	-0.87	23.51	1.00
84.960938	-0.83	23.06	1.00
87.890625	-0.82	22.69	1.00
90.820313	-0.75	21.21	1.00
93.750000	-0.78	20.72	1.00
96.679688	-0.86	20.05	1.00
99.609375	-0.77	19.27	1.00
102.539063	-0.76	18.77	1.00
105.468750	-0.79	18.82	1.00
108.398438	-0.77	17.36	1.00
111.328125	-0.62	17.11	1.00
114.257813	-0.63	16.54	1.00
117.187500	-0.69	16.09	1.00
120.117188	-0.66	15.74	1.00
123.046875	-0.66	15.55	1.00
125.976563	-0.62	15.02	1.00
128.906250	-0.62	14.40	1.00
131.835938	-0.61	14.02	1.00
134.765625	-0.64	13.56	1.00
137.695313	-0.66	13.16	1.00
140.625000	-0.65	12.78	1.00
143.554688	-0.65	12.49	1.00
146.484375	-0.64	12.19	1.00
149.414063	-0.65	12.03	1.00
152.343750	-0.63	11.77	1.00
155.273438	-0.62	11.70	1.00
158.203125	-0.62	11.21	1.00
161.132813	-0.60	11.02	1.00
164.062500	-0.60	10.83	1.00
166.992188	-0.59	10.60	1.00
169.921875	-0.58	10.28	1.00
172.851563	-0.57	9.78	1.00
175.781250	-0.59	9.46	1.00
178.710938	-0.63	9.27	1.00
181.640625	-0.63	9.14	1.00
184.570313	-0.62	8.79	1.00
187.500000	-0.63	8.53	1.00
190.429688	-0.63	8.25	1.00
193.359375	-0.64	8.06	1.00
196.289063	-0.67	7.87	1.00
199.218750	-0.70	7.73	1.00
202.148438	-0.69	7.55	1.00
205.078125	-0.68	7.38	1.00
208.007813	-0.68	7.30	1.00
210.937500	-0.71	7.21	1.00
213.867188	-0.71	7.22	1.00
216.796875	-0.72	7.33	1.00
219.726563	-0.71	7.19	1.00
