	SM57_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-55.10	-139.48	0.80
5.859375	-51.74	178.26	0.57
8.789063	-44.43	159.62	0.74
11.718750	-39.90	163.27	0.93
14.648438	-36.40	-173.14	0.99
17.578125	-36.09	-170.41	0.99
20.507813	-35.33	-171.09	0.80
23.437500	-29.39	-86.49	0.14
26.367188	-28.79	31.51	0.19
29.296875	-23.99	-139.46	0.35
32.226563	-21.37	126.34	0.34
35.156250	-22.58	135.37	0.96
38.085938	-21.90	131.39	0.99
41.015625	-22.61	135.88	0.95
43.945313	-21.08	162.01	0.94
46.875000	-20.39	151.93	0.98
49.804688	-18.55	136.81	0.98
52.734375	-18.37	117.44	0.99
55.664063	-19.23	109.13	0.94
58.593750	-26.93	110.57	0.87
61.523438	-23.04	69.20	0.90
64.453125	-22.66	92.97	0.79
67.382813	-22.21	-140.41	0.27
70.312500	-24.63	-168.60	0.74
73.242188	-24.94	-162.64	0.90
76.171875	-19.41	-174.53	0.97
79.101563	-18.57	171.36	0.97
82.031250	-17.77	146.87	0.95
84.960938	-17.08	100.61	0.92
87.890625	-16.84	56.13	0.86
90.820313	-12.82	-6.86	0.59
93.750000	-11.46	-107.90	0.62
96.679688	-11.61	174.86	0.95
99.609375	-12.90	161.02	0.98
102.539063	-13.53	139.24	0.98
105.468750	-15.35	129.76	0.93
108.398438	-18.96	152.80	0.47
111.328125	-12.89	151.58	0.86
114.257813	-12.43	135.20	0.98
117.187500	-13.67	130.48	0.96
120.117188	-13.96	137.94	0.97
123.046875	-14.40	127.05	0.99
125.976563	-14.42	123.48	0.99
128.906250	-13.50	123.02	0.99
131.835938	-13.43	112.17	0.98
134.765625	-13.79	97.40	0.99
137.695313	-14.53	90.58	0.99
140.625000	-14.65	80.06	0.99
143.554688	-15.47	72.61	0.99
146.484375	-15.64	66.51	0.97
149.414063	-14.60	54.81	0.96
152.343750	-13.72	36.24	0.88
155.273438	-12.91	-34.40	0.79
158.203125	-11.45	70.61	0.11
161.132813	-10.50	88.74	0.96
164.062500	-10.82	80.87	0.98
166.992188	-11.62	69.70	0.96
169.921875	-12.67	48.08	0.91
172.851563	-13.15	27.13	0.75
175.781250	-14.36	133.07	0.69
178.710938	-14.03	134.61	0.80
181.640625	-13.80	103.17	0.94
184.570313	-13.67	86.75	0.96
187.500000	-13.69	72.09	0.97
190.429688	-14.74	61.20	0.98
193.359375	-14.93	52.89	0.98
196.289063	-15.29	43.14	0.97
199.218750	-15.39	30.74	0.97
202.148438	-15.40	21.11	0.92
205.078125	-15.66	32.09	0.63
208.007813	-16.23	89.16	0.53
210.937500	-15.36	89.12	0.90
213.867188	-14.52	79.81	0.96
216.796875	-14.23	70.62	0.96
219.726563	-14.63	58.29	0.87
222.656250	-15.73	51.12	0.85
225.585938	-17.03	55.03	0.69
228.515625	-17.30	57.68	0.63
231.445313	-16.95	58.95	0.82
234.375000	-15.85	54.70	0.74
237.304688	-15.35	43.68	0.85
240.234375	-15.79	37.00	0.94
243.164063	-15.87	30.90	0.96
246.093750	-15.89	27.06	0.91
249.023438	-16.02	24.48	0.91
251.953125	-16.52	21.83	0.86
254.882813	-17.03	27.28	0.58
257.812500	-17.60	46.42	0.56
260.742188	-18.14	53.81	0.89
263.671875	-18.08	58.77	0.80
266.601563	-17.70	57.13	0.81
269.531250	-17.20	48.56	0.92
272.460938	-16.61	40.76	0.96
275.390625	-15.99	32.59	0.98
278.320313	-15.32	23.50	0.98
281.250000	-14.63	12.31	0.98
284.179688	-14.31	1.57	0.97
287.109375	-14.05	-13.61	0.97
290.039063	-13.96	-30.59	0.94
292.968750	-14.22	-57.78	0.85
295.898438	-15.27	-83.63	0.76
298.828125	-17.02	-108.85	0.44
301.757813	-18.39	-167.23	0.50
304.687500	-19.27	152.08	0.73
307.617188	-19.66	129.89	0.75
310.546875	-20.13	103.31	0.71
313.476563	-20.87	88.28	0.71
316.406250	-21.47	82.53	0.63
319.335938	-21.46	92.49	0.26
322.265625	-21.61	104.92	0.56
325.195313	-21.16	114.63	0.48
328.125000	-20.03	124.12	0.53
331.054688	-18.67	126.27	0.84
333.984375	-17.71	119.79	0.82
336.914063	-17.00	117.90	0.69
339.843750	-15.99	112.60	0.67
342.773438	-14.73	105.80	0.86
345.703125	-14.05	99.67	0.87
348.632813	-14.08	88.88	0.95
351.562500	-14.45	80.01	0.99
354.492188	-15.12	72.40	0.95
357.421875	-15.75	67.06	0.97
360.351563	-16.25	63.22	0.98
363.281250	-16.76	59.98	0.98
366.210938	-17.34	57.55	0.98
369.140625	-17.86	56.84	0.97
372.070313	-18.24	56.78	0.95
375.000000	-18.23	56.69	0.93
377.929688	-18.16	56.15	0.98
380.859375	-18.23	54.87	0.97
