	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-38.63	161.75	0.48
5.859375	-24.12	127.57	0.47
8.789063	-24.89	131.67	0.37
11.718750	-30.63	45.29	0.69
14.648438	-27.64	100.95	0.67
17.578125	-22.62	121.62	0.32
20.507813	-21.60	111.29	0.67
23.437500	-21.57	115.44	0.69
26.367188	-17.60	103.69	0.83
29.296875	-13.82	87.28	0.96
32.226563	-11.64	86.44	0.99
35.156250	-9.91	88.55	0.99
38.085938	-8.96	85.14	0.99
41.015625	-7.02	85.00	0.99
43.945313	-6.53	80.35	1.00
46.875000	-5.69	75.97	0.99
49.804688	-4.63	74.62	1.00
52.734375	-3.80	75.99	1.00
55.664063	-3.10	73.48	1.00
58.593750	-2.56	69.35	1.00
61.523438	-1.99	67.05	1.00
64.453125	-1.60	66.48	1.00
67.382813	-1.20	64.73	1.00
70.312500	-0.62	60.42	1.00
73.242188	-0.09	58.31	1.00
76.171875	-0.14	58.01	1.00
79.101563	0.51	55.90	1.00
82.031250	0.78	54.61	1.00
84.960938	1.22	53.11	1.00
87.890625	1.88	46.90	1.00
90.820313	1.88	45.18	1.00
93.750000	1.98	41.47	1.00
96.679688	1.99	40.51	1.00
99.609375	2.05	38.70	1.00
102.539063	2.22	36.99	1.00
105.468750	2.65	33.85	1.00
108.398438	2.71	31.18	1.00
111.328125	2.66	29.87	1.00
114.257813	2.62	27.93	1.00
117.187500	2.62	26.35	1.00
120.117188	2.64	24.93	1.00
123.046875	2.60	23.71	1.00
125.976563	2.60	22.70	1.00
128.906250	2.69	22.15	1.00
131.835938	2.89	20.21	1.00
134.765625	3.19	18.50	1.00
137.695313	3.10	15.37	1.00
140.625000	2.98	13.57	1.00
143.554688	2.92	12.04	1.00
146.484375	2.92	10.90	1.00
149.414063	2.97	10.35	1.00
152.343750	2.99	8.64	1.00
155.273438	2.94	6.92	1.00
158.203125	2.75	4.91	1.00
161.132813	2.51	3.63	1.00
164.062500	2.23	2.85	1.00
166.992188	2.14	2.17	1.00
169.921875	2.08	0.98	1.00
172.851563	1.95	-0.38	1.00
175.781250	1.61	-1.96	1.00
178.710938	1.44	-2.94	1.00
181.640625	1.19	-2.40	1.00
184.570313	1.16	-0.44	1.00
187.500000	0.94	0.52	0.99
190.429688	0.74	-0.67	0.99
193.359375	0.96	-2.22	0.99
196.289063	0.91	-2.28	0.99
199.218750	0.89	-2.13	0.99
202.148438	0.81	-0.51	0.99
205.078125	0.83	-1.60	1.00
208.007813	0.78	-3.36	1.00
210.937500	0.69	-4.91	1.00
213.867188	0.62	-5.78	1.00
