	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-42.73	-114.62	0.38
5.859375	-38.55	-32.26	0.01
8.789063	-44.32	78.60	0.40
11.718750	-36.51	96.85	0.71
14.648438	-32.12	-155.81	0.27
17.578125	-19.99	170.83	0.07
20.507813	-16.21	13.70	0.40
23.437500	-12.82	116.73	0.91
26.367188	-9.45	109.78	0.98
29.296875	-7.56	103.71	0.98
32.226563	-6.80	102.99	0.99
35.156250	-5.96	99.69	0.99
38.085938	-4.93	101.32	0.99
41.015625	-3.69	93.54	1.00
43.945313	-3.48	89.50	1.00
46.875000	-2.92	86.85	1.00
49.804688	-2.42	85.12	1.00
52.734375	-2.19	84.06	1.00
55.664063	-1.61	82.35	1.00
58.593750	-1.24	79.55	1.00
61.523438	-1.03	77.77	1.00
64.453125	-0.35	74.38	1.00
67.382813	-0.17	73.99	1.00
70.312500	0.09	67.88	1.00
73.242188	0.22	66.40	1.00
76.171875	0.36	64.42	1.00
79.101563	0.48	63.62	1.00
82.031250	0.63	63.03	1.00
84.960938	0.95	61.53	1.00
87.890625	1.33	59.83	1.00
90.820313	1.72	50.48	1.00
93.750000	1.55	45.63	1.00
96.679688	1.57	45.63	1.00
99.609375	1.35	44.22	1.00
102.539063	1.29	43.10	1.00
105.468750	1.65	40.24	1.00
108.398438	1.61	35.16	1.00
111.328125	1.41	33.63	1.00
114.257813	1.14	31.24	1.00
117.187500	0.93	29.92	1.00
120.117188	0.78	28.81	1.00
123.046875	0.53	28.48	1.00
125.976563	0.44	28.50	1.00
128.906250	0.45	28.94	1.00
131.835938	0.57	28.89	1.00
134.765625	0.90	25.21	1.00
137.695313	0.81	21.55	1.00
140.625000	0.58	19.88	1.00
143.554688	0.40	18.66	1.00
146.484375	0.34	18.10	1.00
149.414063	0.30	17.42	1.00
152.343750	0.32	15.97	1.00
155.273438	0.36	14.31	1.00
158.203125	0.25	11.58	1.00
161.132813	-0.10	10.18	1.00
164.062500	-0.44	9.67	1.00
166.992188	-0.58	9.10	1.00
169.921875	-0.69	7.90	1.00
172.851563	-0.88	6.48	1.00
175.781250	-1.24	5.45	1.00
178.710938	-1.62	5.65	1.00
181.640625	-1.93	7.01	1.00
184.570313	-2.13	8.76	1.00
187.500000	-2.23	9.63	1.00
190.429688	-2.31	9.97	1.00
193.359375	-2.40	10.59	1.00
196.289063	-2.48	11.51	1.00
199.218750	-2.53	13.00	1.00
202.148438	-2.45	13.99	1.00
205.078125	-2.29	14.49	1.00
208.007813	-2.10	14.50	1.00
210.937500	-1.90	13.93	1.00
213.867188	-1.90	12.50	1.00
216.796875	-2.13	9.38	0.99
219.726563	-2.48	8.55	1.00
222.656250	-2.76	9.91	1.00
225.585938	-2.96	13.63	1.00
228.515625	-2.86	18.42	0.99
231.445313	-2.25	22.26	0.98
234.375000	-1.27	22.89	0.99
237.304688	-0.60	19.57	0.99
240.234375	-0.22	15.21	1.00
243.164063	-0.15	11.28	1.00
246.093750	-0.16	7.98	1.00
249.023438	-0.34	5.24	1.00
251.953125	-0.61	3.48	1.00
254.882813	-0.93	2.83	1.00
257.812500	-1.12	3.25	1.00
260.742188	-1.22	3.24	1.00
263.671875	-1.32	2.21	1.00
266.601563	-1.41	0.92	1.00
269.531250	-1.48	0.20	1.00
272.460938	-1.50	-0.40	1.00
275.390625	-1.55	-0.83	1.00
278.320313	-1.62	-1.28	1.00
281.250000	-1.68	-1.97	1.00
284.179688	-1.83	-2.89	1.00
287.109375	-2.05	-2.79	1.00
290.039063	-2.25	-2.43	1.00
292.968750	-2.44	-2.22	1.00
295.898438	-2.59	-2.15	1.00
298.828125	-2.71	-2.08	1.00
301.757813	-2.82	-1.98	1.00
304.687500	-2.90	-1.70	1.00
307.617188	-3.01	-1.54	1.00
310.546875	-3.08	-1.15	1.00
313.476563	-3.11	-0.52	1.00
316.406250	-3.05	-0.13	1.00
319.335938	-2.98	0.22	1.00
322.265625	-2.94	0.44	1.00
325.195313	-2.94	0.58	1.00
328.125000	-2.96	1.12	1.00
331.054688	-2.94	1.94	1.00
333.984375	-2.87	2.37	1.00
336.914063	-2.77	2.43	1.00
339.843750	-2.65	1.96	1.00
342.773438	-2.53	1.29	1.00
345.703125	-2.42	0.23	1.00
348.632813	-2.37	-1.10	1.00
351.562500	-2.41	-2.35	1.00
354.492188	-2.51	-3.05	1.00
357.421875	-2.65	-3.15	1.00
360.351563	-2.78	-3.00	1.00
363.281250	-2.86	-2.81	1.00
366.210938	-2.89	-2.66	1.00
369.140625	-2.86	-2.69	1.00
372.070313	-2.78	-3.16	1.00
375.000000	-2.77	-4.24	1.00
377.929688	-2.87	-5.38	1.00
380.859375	-3.01	-6.42	1.00
383.789063	-3.14	-6.97	1.00
386.718750	-3.24	-7.03	1.00
389.648438	-3.31	-6.80	1.00
392.578125	-3.35	-6.64	1.00
395.507813	-3.37	-6.57	1.00
398.437500	-3.38	-6.64	1.00
401.367188	-3.43	-6.76	1.00
404.296875	-3.51	-6.97	1.00
407.226563	-3.60	-7.01	1.00
410.156250	-3.69	-6.82	1.00
413.085938	-3.76	-6.48	1.00
416.015625	-3.81	-6.02	1.00
418.945313	-3.83	-5.44	1.00
421.875000	-3.82	-4.98	1.00
424.804688	-3.80	-4.70	1.00
427.734375	-3.77	-4.66	1.00
430.664063	-3.73	-4.74	1.00
433.593750	-3.71	-4.94	1.00
436.523438	-3.69	-5.21	1.00
439.453125	-3.69	-5.64	1.00
442.382813	-3.71	-6.08	1.00
445.312500	-3.76	-6.47	1.00
448.242188	-3.81	-6.82	1.00
451.171875	-3.86	-7.16	1.00
454.101563	-3.92	-7.51	1.00
457.031250	-3.99	-7.83	1.00
459.960938	-4.09	-8.07	1.00
462.890625	-4.19	-8.16	1.00
465.820313	-4.30	-8.12	1.00
468.750000	-4.41	-7.96	1.00
471.679688	-4.52	-7.66	1.00
474.609375	-4.62	-7.31	1.00
477.539063	-4.73	-6.91	1.00
480.468750	-4.84	-6.55	1.00
483.398438	-4.97	-6.07	1.00
486.328125	-5.13	-5.37	1.00
489.257813	-5.28	-4.41	1.00
492.187500	-5.44	-3.13	1.00
495.117188	-5.63	-1.51	1.00
498.046875	-5.83	0.54	1.00
500.976563	-6.06	3.14	1.00
503.906250	-6.33	6.53	0.95
506.835938	-6.52	9.89	0.99
509.765625	-6.70	12.55	1.00
512.695313	-6.87	14.65	1.00
515.625000	-7.03	16.24	1.00
518.554688	-7.19	17.45	0.99
521.484375	-7.35	18.34	0.99
524.414063	-7.48	18.85	0.99
527.343750	-7.59	19.20	0.98
530.273438	-7.68	19.06	0.97
533.203125	-7.78	18.76	0.95
536.132813	-7.90	18.57	0.99
539.062500	-8.02	18.29	0.98
541.992188	-8.14	18.07	0.95
544.921875	-8.22	17.82	0.98
547.851563	-8.28	17.62	0.98
550.781250	-8.33	17.43	0.98
553.710938	-8.34	17.00	0.98
556.640625	-8.34	16.37	0.99
