	SM57_PROX_20_BASS_REFLEX_SIN_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-40.70	-146.69	0.27
5.859375	-31.36	-162.28	0.33
8.789063	-22.48	-113.51	0.32
11.718750	-14.97	-38.66	0.39
14.648438	-20.40	-18.26	0.18
17.578125	-18.81	92.90	0.90
20.507813	-11.69	91.23	0.98
23.437500	-9.88	86.07	0.99
26.367188	-6.94	83.87	0.99
29.296875	-6.86	80.74	0.99
32.226563	-5.09	79.98	0.99
35.156250	-4.23	79.95	0.99
38.085938	-2.45	71.34	1.00
41.015625	-1.79	69.92	1.00
43.945313	-1.23	70.42	0.99
46.875000	2.32	56.36	0.98
49.804688	5.15	48.76	0.88
52.734375	6.49	9.58	0.82
55.664063	1.78	-60.07	0.84
58.593750	-7.07	-78.50	0.68
61.523438	-10.78	-0.98	0.37
64.453125	-9.91	74.97	0.96
67.382813	-7.48	71.93	0.99
70.312500	-4.83	63.69	0.99
73.242188	-4.08	62.99	1.00
76.171875	-2.55	62.17	1.00
79.101563	-2.29	57.43	1.00
82.031250	-1.75	55.45	1.00
84.960938	-0.77	52.99	1.00
87.890625	-0.31	49.35	1.00
90.820313	0.06	47.26	1.00
93.750000	0.21	41.92	1.00
96.679688	0.32	40.29	1.00
99.609375	0.49	38.32	1.00
102.539063	0.91	35.41	1.00
105.468750	1.05	34.82	1.00
108.398438	1.23	32.07	1.00
111.328125	1.32	28.50	1.00
114.257813	1.23	26.77	1.00
117.187500	1.31	26.15	1.00
120.117188	1.33	24.38	1.00
123.046875	1.36	22.74	1.00
125.976563	1.44	21.47	1.00
128.906250	1.57	20.90	1.00
131.835938	1.81	19.03	1.00
134.765625	1.95	16.38	1.00
137.695313	1.78	13.87	1.00
140.625000	1.74	12.12	1.00
143.554688	1.69	11.16	1.00
146.484375	1.68	10.11	1.00
149.414063	1.65	8.39	1.00
152.343750	1.66	6.87	1.00
155.273438	1.62	5.27	1.00
158.203125	1.54	3.47	1.00
161.132813	1.39	2.31	1.00
164.062500	1.22	1.34	1.00
166.992188	1.16	0.61	1.00
169.921875	1.11	-0.50	1.00
172.851563	1.04	-1.60	1.00
175.781250	0.86	-2.55	1.00
178.710938	0.70	-3.17	1.00
181.640625	0.50	-3.64	1.00
184.570313	0.38	-3.87	1.00
187.500000	0.36	-4.30	1.00
190.429688	0.35	-4.98	1.00
193.359375	0.26	-5.74	1.00
196.289063	0.12	-6.05	1.00
199.218750	0.04	-6.26	1.00
202.148438	0.00	-6.75	1.00
205.078125	-0.07	-7.37	1.00
