	ECM8000_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-27.95	-169.95	0.80
5.859375	-23.00	171.77	0.88
8.789063	-16.08	146.26	0.91
11.718750	-10.03	127.52	0.97
14.648438	-6.61	100.64	0.98
17.578125	-6.31	98.14	1.00
20.507813	-6.52	93.45	0.97
23.437500	-4.09	74.74	0.98
26.367188	-3.84	77.58	0.99
29.296875	-2.79	63.56	0.98
32.226563	-2.03	57.38	0.99
35.156250	-1.91	56.53	0.99
38.085938	-2.08	47.78	0.99
41.015625	-1.75	46.55	0.99
43.945313	-1.55	41.85	0.99
46.875000	-1.52	40.66	1.00
49.804688	-1.38	38.88	1.00
52.734375	-1.29	36.17	1.00
55.664063	-1.12	32.57	1.00
58.593750	-1.42	33.23	1.00
61.523438	-1.24	30.27	1.00
64.453125	-1.01	29.93	1.00
67.382813	-1.02	29.82	1.00
70.312500	-1.07	27.08	1.00
73.242188	-0.84	25.78	1.00
76.171875	-0.87	26.03	1.00
79.101563	-0.81	25.20	1.00
82.031250	-0.87	23.19	1.00
84.960938	-0.86	22.95	1.00
87.890625	-0.70	22.55	1.00
90.820313	-0.94	21.27	1.00
93.750000	-0.97	21.15	1.00
96.679688	-0.88	20.43	1.00
99.609375	-0.80	18.71	1.00
102.539063	-0.76	18.70	1.00
105.468750	-0.66	18.16	1.00
108.398438	-0.68	17.63	1.00
111.328125	-0.69	17.17	1.00
114.257813	-0.64	16.41	1.00
117.187500	-0.65	16.00	1.00
120.117188	-0.66	15.53	1.00
123.046875	-0.67	15.24	1.00
125.976563	-0.66	14.69	1.00
128.906250	-0.61	14.15	1.00
131.835938	-0.59	13.90	1.00
134.765625	-0.64	13.48	1.00
137.695313	-0.68	12.92	1.00
140.625000	-0.64	12.54	1.00
143.554688	-0.60	12.31	1.00
146.484375	-0.60	11.87	1.00
149.414063	-0.62	11.53	1.00
152.343750	-0.62	11.30	1.00
155.273438	-0.66	11.02	1.00
158.203125	-0.70	10.76	1.00
161.132813	-0.68	10.57	1.00
164.062500	-0.66	10.44	1.00
166.992188	-0.59	10.16	1.00
169.921875	-0.57	9.78	1.00
172.851563	-0.60	9.36	1.00
175.781250	-0.61	9.09	1.00
178.710938	-0.61	8.95	1.00
181.640625	-0.59	8.88	1.00
184.570313	-0.58	8.58	1.00
187.500000	-0.58	8.20	1.00
190.429688	-0.62	7.90	1.00
193.359375	-0.67	7.54	1.00
196.289063	-0.70	7.35	1.00
199.218750	-0.72	7.25	1.00
202.148438	-0.73	7.18	1.00
205.078125	-0.75	7.03	1.00
208.007813	-0.78	6.94	1.00
210.937500	-0.81	7.04	1.00
213.867188	-0.81	7.05	1.00
216.796875	-0.78	6.95	1.00
219.726563	-0.77	6.83	1.00
222.656250	-0.76	6.69	1.00
225.585938	-0.77	6.66	1.00
228.515625	-0.79	6.61	1.00
231.445313	-0.79	6.45	1.00
234.375000	-0.77	6.38	1.00
237.304688	-0.77	6.25	1.00
240.234375	-0.76	6.15	1.00
243.164063	-0.76	6.05	1.00
246.093750	-0.77	5.92	1.00
249.023438	-0.77	5.87	1.00
251.953125	-0.77	5.79	1.00
254.882813	-0.76	5.71	1.00
257.812500	-0.77	5.54	1.00
260.742188	-0.77	5.39	1.00
263.671875	-0.77	5.23	1.00
266.601563	-0.77	5.11	1.00
269.531250	-0.77	5.01	1.00
272.460938	-0.76	4.88	1.00
275.390625	-0.77	4.83	1.00
278.320313	-0.77	4.82	1.00
281.250000	-0.77	4.85	1.00
284.179688	-0.76	4.80	1.00
287.109375	-0.75	4.71	1.00
290.039063	-0.74	4.56	1.00
292.968750	-0.74	4.41	1.00
295.898438	-0.74	4.23	1.00
298.828125	-0.76	4.13	1.00
301.757813	-0.79	4.14	1.00
304.687500	-0.80	4.16	1.00
307.617188	-0.80	4.18	1.00
310.546875	-0.81	4.15	1.00
313.476563	-0.83	4.09	1.00
316.406250	-0.84	4.11	1.00
319.335938	-0.85	4.22	1.00
322.265625	-0.84	4.31	1.00
325.195313	-0.82	4.37	1.00
328.125000	-0.79	4.36	1.00
331.054688	-0.76	4.26	1.00
333.984375	-0.73	4.08	1.00
336.914063	-0.72	3.84	1.00
339.843750	-0.72	3.59	1.00
342.773438	-0.72	3.41	1.00
345.703125	-0.74	3.33	1.00
348.632813	-0.76	3.33	1.00
351.562500	-0.77	3.36	1.00
354.492188	-0.78	3.36	1.00
357.421875	-0.77	3.33	1.00
360.351563	-0.77	3.24	1.00
363.281250	-0.76	3.14	1.00
366.210938	-0.75	3.01	1.00
369.140625	-0.75	2.91	1.00
372.070313	-0.76	2.79	1.00
375.000000	-0.77	2.70	1.00
377.929688	-0.79	2.65	1.00
380.859375	-0.80	2.63	1.00
383.789063	-0.81	2.65	1.00
386.718750	-0.81	2.67	1.00
389.648438	-0.80	2.69	1.00
392.578125	-0.79	2.68	1.00
395.507813	-0.79	2.65	1.00
398.437500	-0.78	2.59	1.00
401.367188	-0.77	2.54	1.00
404.296875	-0.76	2.51	1.00
407.226563	-0.75	2.48	1.00
410.156250	-0.74	2.50	1.00
413.085938	-0.72	2.45	1.00
416.015625	-0.70	2.33	1.00
418.945313	-0.68	2.13	1.00
421.875000	-0.68	1.87	1.00
424.804688	-0.68	1.62	1.00
427.734375	-0.69	1.38	1.00
430.664063	-0.70	1.17	1.00
433.593750	-0.71	0.99	1.00
436.523438	-0.73	0.87	1.00
439.453125	-0.74	0.79	1.00
442.382813	-0.75	0.68	1.00
445.312500	-0.75	0.53	1.00
448.242188	-0.77	0.35	1.00
451.171875	-0.79	0.15	1.00
454.101563	-0.82	-0.02	1.00
457.031250	-0.86	-0.13	1.00
459.960938	-0.89	-0.18	1.00
462.890625	-0.93	-0.18	1.00
465.820313	-0.97	-0.15	1.00
468.750000	-1.00	-0.05	1.00
471.679688	-1.02	0.14	1.00
