	SM57_TF_0_180		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-49.92	-124.70	0.79
5.859375	-49.09	-146.20	0.78
8.789063	-45.63	-160.11	0.78
11.718750	-37.26	-168.81	0.96
14.648438	-40.64	176.71	0.91
17.578125	-43.16	177.48	0.90
20.507813	-36.53	166.16	0.71
23.437500	-22.48	116.01	0.90
26.367188	-21.73	101.15	0.94
29.296875	-29.87	111.47	0.70
32.226563	-25.44	137.54	0.91
35.156250	-22.60	131.89	0.98
38.085938	-21.37	124.84	0.99
41.015625	-21.90	123.05	0.95
43.945313	-22.73	141.33	0.98
46.875000	-20.94	144.68	0.99
49.804688	-20.12	141.76	0.97
52.734375	-16.63	124.08	0.97
55.664063	-14.77	114.55	0.97
58.593750	-16.95	128.09	0.91
61.523438	-22.04	101.76	0.96
64.453125	-20.12	102.21	0.92
67.382813	-24.63	25.46	0.71
70.312500	-28.02	-116.35	0.32
73.242188	-27.58	-100.58	0.75
76.171875	-24.48	-120.33	0.69
79.101563	-19.77	160.23	0.93
82.031250	-19.80	148.68	0.94
84.960938	-18.22	115.28	0.93
87.890625	-14.03	120.55	0.84
90.820313	-13.50	-33.85	0.46
93.750000	-11.28	-114.42	0.82
96.679688	-13.27	-166.55	0.92
99.609375	-14.19	149.51	0.97
102.539063	-16.54	133.75	0.96
105.468750	-16.69	118.69	0.91
108.398438	-16.76	177.28	0.39
111.328125	-14.18	163.31	0.85
114.257813	-14.14	139.43	0.96
117.187500	-15.39	139.95	0.97
120.117188	-15.35	133.42	0.98
123.046875	-15.88	138.63	0.95
125.976563	-16.36	130.75	0.95
128.906250	-14.14	124.02	0.96
131.835938	-13.77	109.04	0.98
134.765625	-14.02	102.03	0.99
137.695313	-14.52	90.48	0.99
140.625000	-15.08	76.31	0.97
143.554688	-15.34	69.36	0.96
146.484375	-15.56	68.41	0.93
149.414063	-15.40	50.03	0.82
152.343750	-14.27	21.16	0.93
155.273438	-11.86	-37.60	0.72
158.203125	-10.16	-41.35	0.49
161.132813	-10.78	90.89	0.93
164.062500	-11.20	76.83	0.97
166.992188	-12.31	61.61	0.97
169.921875	-13.51	51.45	0.97
172.851563	-15.80	37.57	0.85
175.781250	-17.89	48.60	0.52
178.710938	-16.57	92.60	0.48
181.640625	-14.78	90.42	0.76
184.570313	-14.12	83.65	0.98
187.500000	-14.50	71.62	0.99
190.429688	-15.21	61.42	0.99
193.359375	-16.36	48.38	0.97
196.289063	-16.98	38.34	0.98
199.218750	-17.29	26.90	0.97
202.148438	-17.36	18.82	0.80
205.078125	-17.39	32.09	0.44
208.007813	-16.39	93.33	0.78
210.937500	-15.38	88.34	0.88
213.867188	-14.79	70.57	0.99
216.796875	-14.68	58.31	0.99
219.726563	-15.10	45.71	0.96
222.656250	-16.16	35.34	0.97
225.585938	-17.25	29.73	0.86
228.515625	-18.33	33.26	0.44
231.445313	-18.12	44.36	0.56
234.375000	-17.40	42.86	0.88
237.304688	-16.87	30.75	0.93
240.234375	-17.11	25.61	0.98
243.164063	-17.57	19.74	0.97
246.093750	-18.20	10.46	0.96
249.023438	-18.72	0.55	0.95
251.953125	-19.14	-13.53	0.91
254.882813	-19.95	-23.20	0.90
257.812500	-20.77	-8.75	0.58
260.742188	-21.03	31.14	0.82
263.671875	-20.34	54.77	0.89
266.601563	-18.47	57.41	0.90
269.531250	-17.23	47.81	0.95
272.460938	-16.59	38.65	0.98
275.390625	-16.16	28.80	0.99
278.320313	-15.57	18.11	0.98
281.250000	-14.94	5.55	0.95
284.179688	-14.63	-6.72	0.95
287.109375	-14.64	-18.73	0.99
290.039063	-14.80	-29.91	0.96
292.968750	-15.19	-39.47	0.91
295.898438	-15.60	-45.92	0.45
298.828125	-15.78	-50.23	0.24
301.757813	-16.03	-72.13	0.51
304.687500	-16.23	-91.33	0.89
307.617188	-16.31	-112.58	0.88
310.546875	-16.64	-130.41	0.69
313.476563	-17.13	-144.29	0.75
316.406250	-17.46	-156.89	0.87
319.335938	-17.43	-171.11	0.80
322.265625	-17.25	175.22	0.84
325.195313	-17.07	167.04	0.62
328.125000	-16.63	158.42	0.79
331.054688	-16.42	150.46	0.80
333.984375	-16.26	142.03	0.84
336.914063	-16.21	135.90	0.82
339.843750	-15.87	127.16	0.62
342.773438	-15.34	116.47	0.79
345.703125	-14.92	105.62	0.86
348.632813	-14.57	97.04	0.84
351.562500	-14.62	92.05	0.92
354.492188	-14.91	86.88	0.75
357.421875	-15.16	82.74	0.63
360.351563	-15.42	76.82	0.85
