	att 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-34.48	-153.26	0.99
2.929688	-34.21	-160.93	1.00
4.394531	-34.07	-159.29	1.00
5.859375	-34.31	-170.08	1.00
7.324219	-34.03	-171.99	1.00
8.789062	-33.59	-173.23	1.00
10.253906	-33.57	-172.48	1.00
11.718750	-33.91	-171.84	1.00
13.183594	-33.92	-175.08	1.00
14.648438	-33.96	-174.27	1.00
16.113281	-33.95	-173.18	1.00
17.578125	-34.25	-173.94	1.00
19.042969	-33.81	-173.51	1.00
20.507812	-33.76	-173.91	1.00
21.972656	-33.94	-174.59	1.00
23.437500	-33.80	-175.67	1.00
24.902344	-33.75	-175.88	1.00
26.367188	-33.63	-175.16	1.00
27.832031	-33.65	-175.80	1.00
29.296875	-33.82	-174.16	1.00
30.761719	-33.78	-174.40	1.00
32.226562	-33.64	-174.28	1.00
33.691406	-33.67	-174.14	1.00
35.156250	-33.75	-174.19	1.00
36.621094	-33.80	-174.22	1.00
38.085938	-33.75	-174.20	1.00
39.550781	-33.79	-174.26	1.00
41.015625	-33.73	-174.06	1.00
42.480469	-33.93	-173.79	1.00
43.945312	-33.62	-172.97	1.00
45.410156	-33.74	-173.52	1.00
46.875000	-33.71	-173.40	1.00
48.339844	-33.69	-173.32	1.00
49.804688	-33.85	-172.56	1.00
51.269531	-33.77	-172.37	1.00
52.734375	-33.75	-172.59	1.00
54.199219	-33.69	-172.66	1.00
55.664062	-33.67	-172.90	1.00
57.128906	-33.64	-172.16	1.00
58.593750	-33.69	-172.69	1.00
60.058594	-33.71	-172.02	1.00
61.523438	-33.66	-171.94	1.00
62.988281	-33.62	-172.16	1.00
64.453125	-33.63	-172.28	1.00
65.917969	-33.62	-171.50	1.00
67.382812	-33.65	-171.76	1.00
68.847656	-33.64	-171.33	1.00
70.312500	-33.60	-171.09	1.00
71.777344	-33.57	-170.50	1.00
73.242188	-33.64	-170.40	1.00
74.707031	-33.62	-170.64	1.00
76.171875	-33.61	-170.73	1.00
77.636719	-33.63	-170.88	1.00
79.101562	-33.67	-170.44	1.00
80.566406	-33.59	-169.59	1.00
82.031250	-33.59	-170.61	1.00
83.496094	-33.59	-170.13	1.00
84.960938	-33.59	-169.79	1.00
86.425781	-33.56	-169.76	1.00
87.890625	-33.51	-169.22	1.00
89.355469	-33.51	-169.21	1.00
90.820312	-33.56	-169.65	1.00
92.285156	-33.58	-169.26	1.00
93.750000	-33.55	-168.90	1.00
95.214844	-33.49	-168.89	1.00
96.679688	-33.49	-168.66	1.00
98.144531	-33.50	-168.61	1.00
99.609375	-33.51	-168.25	1.00
101.074219	-33.43	-168.58	1.00
102.539062	-33.47	-168.20	1.00
104.003906	-33.42	-168.11	1.00
105.468750	-33.42	-167.92	1.00
106.933594	-33.45	-167.63	1.00
108.398438	-33.44	-167.55	1.00
109.863281	-33.42	-167.90	1.00
111.328125	-33.43	-167.18	1.00
112.792969	-33.40	-167.38	1.00
114.257812	-33.38	-167.21	1.00
115.722656	-33.34	-166.74	1.00
117.187500	-33.38	-166.53	1.00
118.652344	-33.37	-166.73	1.00
120.117188	-33.37	-166.84	1.00
121.582031	-33.33	-166.77	1.00
123.046875	-33.34	-166.24	1.00
124.511719	-33.32	-166.21	1.00
125.976562	-33.31	-165.91	1.00
127.441406	-33.31	-165.71	1.00
128.906250	-33.29	-165.75	1.00
130.371094	-33.30	-165.63	1.00
131.835938	-33.28	-165.52	1.00
133.300781	-33.29	-165.38	1.00
134.765625	-33.28	-165.28	1.00
136.230469	-33.27	-165.14	1.00
137.695312	-33.25	-164.83	1.00
139.160156	-33.21	-164.58	1.00
140.625000	-33.19	-164.47	1.00
143.554688	-33.17	-164.42	1.00
146.484375	-33.15	-164.17	1.00
149.414062	-33.12	-163.69	1.00
152.343750	-33.08	-163.55	1.00
155.273438	-33.10	-163.47	1.00
158.203125	-33.06	-163.03	1.00
161.132812	-33.04	-162.74	1.00
164.062500	-33.02	-162.71	1.00
166.992188	-32.99	-162.47	1.00
169.921875	-32.95	-161.97	1.00
172.851562	-32.94	-161.89	1.00
175.781250	-32.91	-161.60	1.00
178.710938	-32.87	-161.27	1.00
181.640625	-32.86	-161.14	1.00
184.570312	-32.83	-160.93	1.00
187.500000	-32.81	-160.69	1.00
190.429688	-32.79	-160.56	1.00
193.359375	-32.74	-160.17	1.00
196.289062	-32.71	-159.95	1.00
199.218750	-32.72	-159.58	1.00
202.148438	-32.70	-159.61	1.00
205.078125	-32.63	-159.34	1.00
208.007812	-32.63	-159.23	1.00
210.937500	-32.58	-158.86	1.00
213.867188	-32.57	-158.66	1.00
216.796875	-32.54	-158.46	1.00
219.726562	-32.51	-158.43	1.00
222.656250	-32.45	-158.30	1.00
225.585938	-32.45	-157.92	1.00
228.515625	-32.43	-157.92	1.00
231.445312	-32.39	-157.46	1.00
234.375000	-32.36	-157.45	1.00
237.304688	-32.35	-157.28	1.00
240.234375	-32.29	-156.97	1.00
243.164062	-32.27	-156.87	1.00
246.093750	-32.23	-156.70	1.00
249.023438	-32.20	-156.44	1.00
251.953125	-32.18	-156.22	1.00
254.882812	-32.14	-156.10	1.00
257.812500	-32.12	-155.98	1.00
260.742188	-32.11	-155.74	1.00
263.671875	-32.07	-155.54	1.00
266.601562	-32.02	-155.49	1.00
269.531250	-32.00	-155.19	1.00
272.460938	-31.97	-155.06	1.00
275.390625	-31.96	-154.93	1.00
278.320312	-31.91	-154.66	1.00
281.250000	-31.87	-154.56	1.00
287.109375	-31.81	-154.19	1.00
292.968750	-31.75	-153.87	1.00
298.828125	-31.73	-154.24	1.00
304.687500	-31.61	-153.47	1.00
310.546875	-31.59	-153.34	1.00
316.406250	-31.53	-152.96	1.00
322.265625	-31.54	-152.47	1.00
328.125000	-31.39	-152.38	1.00
333.984375	-31.34	-152.13	1.00
339.843750	-31.31	-152.11	1.00
345.703125	-31.20	-151.88	1.00
351.562500	-31.16	-151.44	1.00
357.421875	-31.10	-151.15	1.00
363.281250	-31.05	-151.11	1.00
369.140625	-30.93	-151.02	1.00
375.000000	-30.91	-150.71	1.00
380.859375	-30.88	-150.21	1.00
386.718750	-30.78	-150.29	1.00
392.578125	-30.74	-150.19	1.00
398.437500	-30.66	-149.97	1.00
404.296875	-30.64	-149.59	1.00
410.156250	-30.57	-149.74	1.00
416.015625	-30.49	-149.67	1.00
421.875000	-30.44	-149.64	1.00
427.734375	-30.39	-149.27	1.00
433.593750	-30.32	-149.19	1.00
439.453125	-30.30	-149.03	1.00
445.312500	-30.22	-148.82	1.00
451.171875	-30.18	-148.82	1.00
457.031250	-30.12	-148.52	1.00
462.890625	-30.07	-148.44	1.00
468.750000	-29.99	-148.50	1.00
474.609375	-29.96	-148.28	1.00
480.468750	-29.89	-148.27	1.00
486.328125	-29.83	-148.12	1.00
492.187500	-29.80	-148.12	1.00
498.046875	-29.73	-148.28	1.00
503.906250	-29.67	-148.04	1.00
509.765625	-29.60	-147.76	1.00
515.625000	-29.58	-147.75	1.00
521.484375	-29.53	-147.78	1.00
527.343750	-29.47	-147.77	1.00
533.203125	-29.42	-147.71	1.00
539.062500	-29.38	-147.57	1.00
544.921875	-29.34	-147.48	1.00
550.781250	-29.30	-147.57	1.00
556.640625	-29.22	-147.44	1.00
562.500000	-29.19	-147.24	1.00
574.218750	-29.10	-147.19	1.00
585.937500	-29.00	-147.28	1.00
597.656250	-28.88	-147.25	1.00
609.375000	-28.80	-147.36	1.00
621.093750	-28.68	-147.20	1.00
632.812500	-28.61	-147.30	1.00
644.531250	-28.53	-147.05	1.00
656.250000	-28.48	-147.20	1.00
667.968750	-28.32	-147.48	1.00
679.687500	-28.31	-147.14	1.00
691.406250	-28.18	-147.40	1.00
703.125000	-28.12	-147.30	1.00
714.843750	-28.09	-147.16	1.00
726.562500	-27.98	-147.38	1.00
738.281250	-27.94	-147.34	1.00
750.000000	-27.83	-147.38	1.00
761.718750	-27.75	-147.50	1.00
773.437500	-27.70	-147.45	1.00
785.156250	-27.63	-147.83	1.00
796.875000	-27.58	-147.69	1.00
808.593750	-27.48	-148.05	1.00
820.312500	-27.40	-147.84	1.00
832.031250	-27.37	-148.03	1.00
843.750000	-27.26	-147.96	1.00
855.468750	-27.29	-148.16	1.00
867.187500	-27.18	-148.23	1.00
878.906250	-27.10	-148.48	1.00
890.625000	-27.04	-148.54	1.00
902.343750	-27.02	-148.44	1.00
914.062500	-26.92	-148.85	1.00
925.781250	-26.88	-148.97	1.00
937.500000	-26.78	-148.52	1.00
949.218750	-26.75	-149.07	1.00
960.937500	-26.72	-149.08	1.00
972.656250	-26.69	-149.39	1.00
984.375000	-26.60	-149.34	1.00
996.093750	-26.57	-149.58	1.00
1007.812500	-26.51	-149.54	1.00
1019.531250	-26.46	-149.79	1.00
1031.250000	-26.40	-149.87	1.00
1042.968750	-26.37	-149.95	1.00
1054.687500	-26.34	-150.14	1.00
1066.406250	-26.29	-150.26	1.00
1078.125000	-26.27	-150.23	1.00
1089.843750	-26.18	-150.42	1.00
1101.562500	-26.15	-150.75	1.00
1113.281250	-26.11	-150.79	1.00
1125.000000	-26.05	-150.86	1.00
1148.437500	-25.97	-151.09	1.00
1171.875000	-25.91	-151.42	1.00
1195.312500	-25.83	-151.62	1.00
1218.750000	-25.83	-152.11	1.00
1242.187500	-25.71	-152.02	1.00
1265.625000	-25.59	-152.49	1.00
1289.062500	-25.66	-152.82	1.00
1312.500000	-25.51	-153.18	1.00
1335.937500	-25.45	-153.20	1.00
1359.375000	-25.42	-153.40	1.00
1382.812500	-25.36	-153.90	1.00
1406.250000	-25.30	-154.23	1.00
1429.687500	-25.24	-154.09	1.00
1453.125000	-25.20	-154.32	1.00
1476.562500	-25.11	-154.35	1.00
1500.000000	-25.13	-154.80	1.00
1523.437500	-25.06	-155.38	1.00
1546.875000	-25.01	-155.45	1.00
1570.312500	-24.98	-155.68	1.00
1593.750000	-24.93	-155.89	1.00
1617.187500	-24.90	-156.16	1.00
1640.625000	-24.87	-156.40	1.00
1664.062500	-24.82	-156.56	1.00
1687.500000	-24.79	-157.22	1.00
1710.937500	-24.71	-157.18	1.00
1734.375000	-24.70	-157.11	1.00
1757.812500	-24.67	-157.45	1.00
1781.250000	-24.65	-157.59	1.00
1804.687500	-24.59	-157.98	1.00
1828.125000	-24.57	-158.13	1.00
1851.562500	-24.57	-158.26	1.00
1875.000000	-24.52	-158.52	1.00
1898.437500	-24.48	-158.69	1.00
1921.875000	-24.46	-158.96	1.00
1945.312500	-24.45	-158.98	1.00
1968.750000	-24.43	-159.33	1.00
1992.187500	-24.40	-159.58	1.00
2015.625000	-24.40	-159.77	1.00
2039.062500	-24.37	-159.99	1.00
2062.500000	-24.33	-160.07	1.00
2085.937500	-24.33	-160.24	1.00
2109.375000	-24.30	-160.50	1.00
2132.812500	-24.27	-160.53	1.00
2156.250000	-24.21	-160.90	1.00
2179.687500	-24.21	-161.00	1.00
2203.125000	-24.21	-161.14	1.00
2226.562500	-24.22	-161.36	1.00
2250.000000	-24.18	-161.38	1.00
2296.875000	-24.12	-161.47	1.00
2343.750000	-24.09	-162.16	1.00
2390.625000	-24.07	-162.37	1.00
2437.500000	-24.07	-162.67	1.00
2484.375000	-23.99	-162.93	1.00
2531.250000	-23.97	-163.26	1.00
2578.125000	-23.96	-163.52	1.00
2625.000000	-23.95	-163.72	1.00
2671.875000	-23.90	-164.16	1.00
2718.750000	-23.87	-164.11	1.00
2765.625000	-23.87	-164.55	1.00
2812.500000	-23.83	-164.80	1.00
2859.375000	-23.81	-165.01	1.00
2906.250000	-23.83	-165.20	1.00
2953.125000	-23.77	-165.48	1.00
3000.000000	-23.76	-165.69	1.00
3046.875000	-23.76	-165.85	1.00
3093.750000	-23.73	-166.08	1.00
3140.625000	-23.71	-166.49	1.00
3187.500000	-23.70	-166.63	1.00
3234.375000	-23.69	-166.70	1.00
3281.250000	-23.67	-166.88	1.00
3328.125000	-23.67	-167.07	1.00
3375.000000	-23.67	-167.42	1.00
3421.875000	-23.64	-167.47	1.00
3468.750000	-23.64	-167.60	1.00
3515.625000	-23.60	-167.75	1.00
3562.500000	-23.61	-167.91	1.00
3609.375000	-23.60	-168.29	1.00
3656.250000	-23.58	-168.31	1.00
3703.125000	-23.57	-168.54	1.00
3750.000000	-23.58	-168.50	1.00
3796.875000	-23.56	-168.86	1.00
3843.750000	-23.55	-168.92	1.00
3890.625000	-23.55	-168.99	1.00
