	att 5k		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-27.01	-143.18	0.99
2.929688	-26.33	-146.10	0.99
4.394531	-25.36	-159.58	1.00
5.859375	-25.11	-165.23	1.00
7.324219	-25.02	-168.40	1.00
8.789062	-24.89	-170.49	1.00
10.253906	-24.88	-172.58	1.00
11.718750	-24.83	-173.35	1.00
13.183594	-24.73	-174.57	1.00
14.648438	-24.76	-175.09	1.00
16.113281	-24.73	-176.06	1.00
17.578125	-24.78	-176.49	1.00
19.042969	-24.78	-176.77	1.00
20.507812	-24.72	-178.16	1.00
21.972656	-24.75	-177.81	1.00
23.437500	-24.72	-177.98	1.00
24.902344	-24.73	-178.43	1.00
26.367188	-24.70	-179.12	1.00
27.832031	-24.72	-179.06	1.00
29.296875	-24.77	-179.27	1.00
30.761719	-24.74	-179.65	1.00
32.226562	-24.73	-179.60	1.00
33.691406	-24.78	179.79	1.00
35.156250	-24.77	179.38	1.00
36.621094	-24.73	179.19	1.00
38.085938	-24.76	179.09	1.00
39.550781	-24.74	178.92	1.00
41.015625	-24.73	178.60	1.00
42.480469	-24.77	178.59	1.00
43.945312	-24.75	178.17	1.00
45.410156	-24.78	178.09	1.00
46.875000	-24.75	177.81	1.00
48.339844	-24.75	177.85	1.00
49.804688	-24.73	178.16	1.00
51.269531	-24.75	177.07	1.00
52.734375	-24.74	177.08	1.00
54.199219	-24.74	176.98	1.00
55.664062	-24.73	176.90	1.00
57.128906	-24.81	176.73	1.00
58.593750	-24.77	176.75	1.00
60.058594	-24.78	176.27	1.00
61.523438	-24.76	176.10	1.00
62.988281	-24.79	175.84	1.00
64.453125	-24.78	175.68	1.00
65.917969	-24.78	175.67	1.00
67.382812	-24.79	175.43	1.00
68.847656	-24.78	175.42	1.00
70.312500	-24.78	175.07	1.00
71.777344	-24.76	175.05	1.00
73.242188	-24.81	174.79	1.00
74.707031	-24.81	174.64	1.00
76.171875	-24.79	174.72	1.00
77.636719	-24.83	174.30	1.00
79.101562	-24.79	174.29	1.00
80.566406	-24.84	174.24	1.00
82.031250	-24.81	174.04	1.00
83.496094	-24.75	173.80	1.00
84.960938	-24.83	173.95	1.00
86.425781	-24.82	173.48	1.00
87.890625	-24.82	173.44	1.00
89.355469	-24.78	173.35	1.00
90.820312	-24.81	172.89	1.00
92.285156	-24.82	172.88	1.00
93.750000	-24.82	172.70	1.00
95.214844	-24.84	172.75	1.00
96.679688	-24.84	172.46	1.00
98.144531	-24.85	172.30	1.00
99.609375	-24.81	172.45	1.00
101.074219	-24.81	172.03	1.00
102.539062	-24.86	171.90	1.00
104.003906	-24.84	171.73	1.00
105.468750	-24.85	171.54	1.00
106.933594	-24.88	171.46	1.00
108.398438	-24.86	171.34	1.00
109.863281	-24.87	171.20	1.00
111.328125	-24.92	171.07	1.00
112.792969	-24.91	171.11	1.00
114.257812	-24.92	170.84	1.00
115.722656	-24.90	171.01	1.00
117.187500	-24.88	170.74	1.00
118.652344	-24.89	170.42	1.00
120.117188	-24.89	170.15	1.00
121.582031	-24.91	170.38	1.00
123.046875	-24.94	170.40	1.00
124.511719	-24.90	169.95	1.00
125.976562	-24.91	169.88	1.00
127.441406	-24.92	169.75	1.00
128.906250	-24.91	169.42	1.00
130.371094	-24.93	169.41	1.00
131.835938	-24.94	169.18	1.00
133.300781	-24.95	169.02	1.00
134.765625	-24.96	168.95	1.00
136.230469	-24.97	168.66	1.00
137.695312	-24.97	168.72	1.00
139.160156	-24.97	168.63	1.00
140.625000	-24.97	168.56	1.00
143.554688	-24.99	168.00	1.00
146.484375	-24.98	167.72	1.00
149.414062	-25.01	167.74	1.00
152.343750	-25.02	167.28	1.00
155.273438	-25.03	167.13	1.00
158.203125	-25.05	166.79	1.00
161.132812	-25.04	166.51	1.00
164.062500	-25.06	166.41	1.00
166.992188	-25.05	166.29	1.00
169.921875	-25.10	165.88	1.00
172.851562	-25.12	165.66	1.00
175.781250	-25.12	165.10	1.00
178.710938	-25.13	165.10	1.00
181.640625	-25.15	164.86	1.00
184.570312	-25.17	164.65	1.00
187.500000	-25.15	164.29	1.00
190.429688	-25.17	164.06	1.00
193.359375	-25.19	163.92	1.00
196.289062	-25.20	163.63	1.00
199.218750	-25.21	163.62	1.00
202.148438	-25.23	163.19	1.00
205.078125	-25.25	163.25	1.00
208.007812	-25.26	162.69	1.00
210.937500	-25.29	162.53	1.00
213.867188	-25.30	162.15	1.00
216.796875	-25.31	162.15	1.00
219.726562	-25.34	161.80	1.00
222.656250	-25.33	161.61	1.00
225.585938	-25.36	161.44	1.00
228.515625	-25.38	161.16	1.00
231.445312	-25.36	160.84	1.00
234.375000	-25.35	160.60	1.00
237.304688	-25.42	160.53	1.00
240.234375	-25.42	160.25	1.00
243.164062	-25.44	160.00	1.00
246.093750	-25.48	159.76	1.00
249.023438	-25.49	159.64	1.00
251.953125	-25.51	159.40	1.00
254.882812	-25.50	159.33	1.00
257.812500	-25.51	158.92	1.00
260.742188	-25.55	158.76	1.00
263.671875	-25.57	158.59	1.00
266.601562	-25.62	158.32	1.00
269.531250	-25.60	158.09	1.00
272.460938	-25.62	157.74	1.00
275.390625	-25.65	157.70	1.00
278.320312	-25.65	157.67	1.00
281.250000	-25.66	157.29	1.00
287.109375	-25.72	156.64	1.00
292.968750	-25.74	156.48	1.00
298.828125	-25.77	156.05	1.00
304.687500	-25.82	155.64	1.00
310.546875	-25.86	155.36	1.00
316.406250	-25.90	154.76	1.00
322.265625	-25.90	154.50	1.00
328.125000	-25.99	154.01	1.00
333.984375	-26.01	153.70	1.00
339.843750	-26.06	153.49	1.00
345.703125	-26.07	152.89	1.00
351.562500	-26.14	152.82	1.00
357.421875	-26.16	152.23	1.00
363.281250	-26.22	151.93	1.00
369.140625	-26.24	151.55	1.00
375.000000	-26.28	151.23	1.00
380.859375	-26.33	150.94	1.00
386.718750	-26.35	150.63	1.00
392.578125	-26.41	150.11	1.00
398.437500	-26.45	149.79	1.00
404.296875	-26.49	149.65	1.00
410.156250	-26.54	149.28	1.00
416.015625	-26.58	148.80	1.00
421.875000	-26.60	148.72	1.00
427.734375	-26.67	148.19	1.00
433.593750	-26.72	147.93	1.00
439.453125	-26.74	147.70	1.00
445.312500	-26.79	147.45	1.00
451.171875	-26.84	147.04	1.00
457.031250	-26.87	146.74	1.00
462.890625	-26.92	146.67	1.00
468.750000	-26.98	146.24	1.00
474.609375	-27.01	145.87	1.00
480.468750	-27.02	145.85	1.00
486.328125	-27.10	145.43	1.00
492.187500	-27.13	145.09	1.00
498.046875	-27.17	145.02	1.00
503.906250	-27.20	144.73	1.00
509.765625	-27.27	144.44	1.00
515.625000	-27.27	144.34	0.99
521.484375	-27.35	143.96	0.99
527.343750	-27.40	143.60	1.00
533.203125	-27.44	143.34	1.00
539.062500	-27.48	143.19	1.00
544.921875	-27.53	142.93	1.00
550.781250	-27.58	142.72	1.00
556.640625	-27.60	142.44	1.00
562.500000	-27.65	142.24	1.00
574.218750	-27.75	141.57	1.00
585.937500	-27.81	141.27	1.00
597.656250	-27.93	141.05	1.00
609.375000	-28.00	140.53	1.00
621.093750	-28.08	140.35	1.00
632.812500	-28.20	139.37	1.00
644.531250	-28.36	139.16	1.00
656.250000	-28.31	138.95	1.00
667.968750	-28.44	138.39	1.00
679.687500	-28.53	138.67	1.00
691.406250	-28.62	137.87	1.00
703.125000	-28.62	137.53	1.00
714.843750	-28.78	137.10	1.00
726.562500	-28.78	137.51	1.00
738.281250	-28.93	137.02	1.00
750.000000	-29.05	136.03	0.99
761.718750	-29.06	136.24	1.00
773.437500	-29.21	135.60	1.00
785.156250	-29.26	135.36	1.00
796.875000	-29.32	134.98	0.99
808.593750	-29.40	134.97	1.00
820.312500	-29.50	134.69	0.99
832.031250	-29.58	134.88	0.99
843.750000	-29.66	133.70	0.99
855.468750	-29.73	134.27	1.00
867.187500	-29.80	134.10	1.00
878.906250	-29.88	133.50	1.00
890.625000	-30.00	133.34	1.00
902.343750	-30.02	133.07	1.00
914.062500	-30.16	133.21	1.00
925.781250	-30.14	132.65	1.00
937.500000	-30.27	132.50	1.00
949.218750	-30.35	132.43	1.00
960.937500	-30.40	132.21	0.99
972.656250	-30.52	131.90	0.99
984.375000	-30.57	132.16	0.99
996.093750	-30.59	131.98	1.00
1007.812500	-30.68	131.63	0.99
1019.531250	-30.75	131.60	0.99
1031.250000	-30.84	131.12	1.00
1042.968750	-30.89	130.96	1.00
1054.687500	-31.00	130.93	0.99
1066.406250	-31.03	130.69	0.99
1078.125000	-31.11	130.64	0.99
1089.843750	-31.19	130.43	0.99
1101.562500	-31.23	130.33	0.99
1113.281250	-31.34	130.26	0.99
1125.000000	-31.41	130.20	0.99
1148.437500	-31.47	129.79	0.99
1171.875000	-31.65	129.80	0.99
1195.312500	-31.84	129.99	0.99
1218.750000	-31.84	130.68	0.99
1242.187500	-32.05	129.38	1.00
1265.625000	-32.27	129.36	0.99
1289.062500	-32.31	129.36	0.99
1312.500000	-32.31	128.83	0.99
1335.937500	-32.59	129.39	0.99
1359.375000	-32.61	128.69	0.99
1382.812500	-32.80	128.68	0.99
1406.250000	-32.94	128.23	0.99
1429.687500	-33.00	128.44	0.99
1453.125000	-33.04	128.27	0.99
1476.562500	-33.03	128.87	0.99
1500.000000	-33.30	127.49	0.99
1523.437500	-33.40	128.16	0.99
1546.875000	-33.48	127.57	0.99
1570.312500	-33.72	127.99	0.99
1593.750000	-33.72	127.65	0.99
1617.187500	-33.57	127.51	0.99
1640.625000	-33.96	128.19	0.99
1664.062500	-33.93	128.00	0.99
1687.500000	-34.09	128.10	0.99
1710.937500	-34.21	127.95	0.99
1734.375000	-34.29	127.73	0.99
1757.812500	-34.41	127.44	0.99
1781.250000	-34.42	128.07	0.99
1804.687500	-34.54	128.34	0.99
1828.125000	-34.65	127.45	0.99
1851.562500	-34.66	128.00	0.99
1875.000000	-34.83	128.17	0.99
1898.437500	-34.80	128.00	0.99
1921.875000	-35.02	128.24	0.99
1945.312500	-35.08	127.44	0.99
1968.750000	-35.18	128.05	0.99
1992.187500	-35.24	128.59	0.99
2015.625000	-35.21	128.53	0.99
2039.062500	-35.41	128.38	0.99
2062.500000	-35.40	128.45	0.99
2085.937500	-35.50	128.45	0.99
2109.375000	-35.54	128.19	0.99
2132.812500	-35.62	128.31	0.99
2156.250000	-35.72	128.65	0.99
2179.687500	-35.73	128.03	0.99
2203.125000	-35.93	129.01	0.99
2226.562500	-36.03	129.08	0.99
2250.000000	-36.03	129.24	0.99
2296.875000	-36.18	129.68	0.99
2343.750000	-36.13	129.15	0.99
2390.625000	-36.36	128.99	0.99
2437.500000	-36.40	129.36	0.99
2484.375000	-36.61	128.69	0.99
2531.250000	-36.79	129.57	0.99
2578.125000	-36.73	129.48	0.99
2625.000000	-36.98	130.14	0.99
2671.875000	-37.02	129.86	0.99
2718.750000	-37.25	130.25	0.99
2765.625000	-37.28	130.46	0.99
2812.500000	-37.59	130.25	0.99
2859.375000	-37.39	131.04	0.99
2906.250000	-37.68	131.62	0.99
2953.125000	-37.64	132.06	0.99
3000.000000	-37.63	133.33	0.99
3046.875000	-37.84	131.30	0.99
3093.750000	-37.88	132.20	0.99
3140.625000	-38.09	132.07	0.99
3187.500000	-38.03	131.60	0.99
3234.375000	-38.26	132.17	0.99
3281.250000	-38.30	132.22	0.99
3328.125000	-38.45	132.44	0.99
3375.000000	-38.47	133.13	0.99
3421.875000	-38.83	135.14	0.99
3468.750000	-38.49	132.81	0.99
3515.625000	-38.68	133.69	0.99
3562.500000	-38.76	133.56	0.99
3609.375000	-38.85	133.68	0.99
3656.250000	-38.92	133.83	0.99
3703.125000	-38.98	134.11	0.99
3750.000000	-39.13	134.55	0.99
3796.875000	-39.09	134.25	0.99
3843.750000	-39.24	134.83	0.99
3890.625000	-39.31	135.28	0.99
3937.500000	-39.30	135.51	0.99
3984.375000	-39.34	136.37	0.99
4031.250000	-39.51	135.16	0.99
4078.125000	-39.50	135.43	0.99
4125.000000	-39.68	135.70	0.99
4171.875000	-39.61	136.24	0.99
4218.750000	-39.65	136.43	0.99
4265.625000	-39.65	136.99	0.99
4312.500000	-39.70	136.74	0.99
4359.375000	-39.91	136.61	0.99
4406.250000	-39.91	137.16	0.99
4453.125000	-39.90	137.53	0.99
4500.000000	-39.97	137.23	0.99
4593.750000	-39.99	137.95	0.99
4687.500000	-40.19	138.79	0.99
4781.250000	-40.27	137.72	0.99
4875.000000	-40.30	139.44	0.99
4968.750000	-40.62	139.27	0.99
5062.500000	-40.47	138.42	0.99
5156.250000	-40.54	139.87	0.99
5250.000000	-40.69	140.55	0.99
5343.750000	-40.63	141.42	0.99
5437.500000	-40.96	141.23	0.99
5531.250000	-40.91	141.16	0.99
5625.000000	-40.92	141.58	0.99
5718.750000	-40.86	142.10	0.99
5812.500000	-41.18	142.23	0.99
5906.250000	-41.19	142.27	0.99
