	bell 5k broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.83	-144.23	0.99
2.929688	-26.37	-150.71	1.00
4.394531	-25.29	-158.16	1.00
5.859375	-25.07	-164.26	1.00
7.324219	-25.03	-167.66	1.00
8.789062	-24.89	-169.62	1.00
10.253906	-24.91	-171.39	1.00
11.718750	-24.83	-172.05	1.00
13.183594	-24.73	-172.92	1.00
14.648438	-24.73	-173.09	1.00
16.113281	-24.72	-173.82	1.00
17.578125	-24.77	-174.17	1.00
19.042969	-24.80	-174.54	1.00
20.507812	-24.75	-174.86	1.00
21.972656	-24.75	-174.75	1.00
23.437500	-24.77	-174.78	1.00
24.902344	-24.72	-175.07	1.00
26.367188	-24.70	-175.05	1.00
27.832031	-24.72	-175.21	1.00
29.296875	-24.77	-175.38	1.00
30.761719	-24.75	-175.28	1.00
32.226562	-24.72	-175.13	1.00
33.691406	-24.74	-175.30	1.00
35.156250	-24.76	-175.71	1.00
36.621094	-24.71	-175.51	1.00
38.085938	-24.71	-175.49	1.00
39.550781	-24.69	-175.71	1.00
41.015625	-24.68	-175.83	1.00
42.480469	-24.75	-175.40	1.00
43.945312	-24.71	-175.64	1.00
45.410156	-24.73	-175.55	1.00
46.875000	-24.71	-175.47	1.00
48.339844	-24.71	-175.36	1.00
49.804688	-24.68	-174.93	1.00
51.269531	-24.69	-175.42	1.00
52.734375	-24.68	-175.48	1.00
54.199219	-24.65	-175.34	1.00
55.664062	-24.66	-175.23	1.00
57.128906	-24.73	-175.19	1.00
58.593750	-24.68	-175.07	1.00
60.058594	-24.71	-175.19	1.00
61.523438	-24.69	-175.20	1.00
62.988281	-24.70	-175.18	1.00
64.453125	-24.71	-175.39	1.00
65.917969	-24.70	-175.12	1.00
67.382812	-24.70	-175.09	1.00
68.847656	-24.69	-174.93	1.00
70.312500	-24.70	-174.91	1.00
71.777344	-24.66	-174.61	1.00
73.242188	-24.69	-174.88	1.00
74.707031	-24.68	-174.74	1.00
76.171875	-24.66	-174.71	1.00
77.636719	-24.70	-174.59	1.00
79.101562	-24.70	-174.57	1.00
80.566406	-24.70	-174.43	1.00
82.031250	-24.69	-174.53	1.00
83.496094	-24.62	-174.43	1.00
84.960938	-24.66	-174.14	1.00
86.425781	-24.69	-174.19	1.00
87.890625	-24.68	-174.24	1.00
89.355469	-24.67	-174.15	1.00
90.820312	-24.65	-174.17	1.00
92.285156	-24.65	-174.07	1.00
93.750000	-24.68	-173.89	1.00
