	bell 5k sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.23	-148.02	0.98
2.929688	-25.68	-154.12	0.99
4.394531	-25.28	-162.86	1.00
5.859375	-24.97	-165.49	1.00
7.324219	-25.09	-166.75	1.00
8.789062	-24.83	-169.80	1.00
10.253906	-24.79	-171.10	1.00
11.718750	-24.82	-172.24	1.00
13.183594	-24.78	-172.50	1.00
14.648438	-24.78	-173.93	1.00
16.113281	-24.78	-173.79	1.00
17.578125	-24.73	-173.81	1.00
19.042969	-24.74	-174.13	1.00
20.507812	-24.77	-174.94	1.00
21.972656	-24.72	-175.09	1.00
23.437500	-24.71	-174.91	1.00
24.902344	-24.78	-174.56	1.00
26.367188	-24.70	-175.15	1.00
27.832031	-24.72	-175.07	1.00
29.296875	-24.78	-175.56	1.00
30.761719	-24.70	-175.56	1.00
32.226562	-24.71	-175.32	1.00
33.691406	-24.71	-175.58	1.00
35.156250	-24.70	-175.63	1.00
36.621094	-24.71	-175.69	1.00
38.085938	-24.71	-175.53	1.00
39.550781	-24.72	-175.35	1.00
41.015625	-24.71	-175.45	1.00
42.480469	-24.72	-175.63	1.00
43.945312	-24.72	-175.37	1.00
45.410156	-24.73	-175.68	1.00
46.875000	-24.67	-175.41	1.00
48.339844	-24.75	-175.33	1.00
49.804688	-24.71	-175.57	1.00
51.269531	-24.71	-175.81	1.00
52.734375	-24.71	-175.52	1.00
54.199219	-24.70	-175.62	1.00
55.664062	-24.70	-175.32	1.00
57.128906	-24.71	-175.28	1.00
58.593750	-24.74	-175.22	1.00
60.058594	-24.73	-175.25	1.00
61.523438	-24.71	-175.30	1.00
62.988281	-24.72	-175.27	1.00
64.453125	-24.72	-175.15	1.00
65.917969	-24.68	-175.16	1.00
67.382812	-24.70	-175.31	1.00
68.847656	-24.66	-174.87	1.00
70.312500	-24.68	-175.03	1.00
71.777344	-24.69	-174.90	1.00
73.242188	-24.73	-174.63	1.00
74.707031	-24.70	-174.75	1.00
76.171875	-24.73	-174.64	1.00
77.636719	-24.72	-174.66	1.00
79.101562	-24.70	-174.63	1.00
80.566406	-24.67	-174.69	1.00
82.031250	-24.70	-174.55	1.00
83.496094	-24.70	-174.44	1.00
84.960938	-24.70	-174.52	1.00
86.425781	-24.66	-174.09	1.00
87.890625	-24.65	-174.07	1.00
89.355469	-24.69	-174.24	1.00
90.820312	-24.68	-174.13	1.00
92.285156	-24.67	-173.96	1.00
93.750000	-24.67	-174.05	1.00
95.214844	-24.67	-174.03	1.00
96.679688	-24.69	-173.84	1.00
98.144531	-24.65	-173.73	1.00
99.609375	-24.69	-173.85	1.00
101.074219	-24.68	-173.87	1.00
102.539062	-24.66	-173.39	1.00
104.003906	-24.66	-173.51	1.00
105.468750	-24.66	-173.47	1.00
106.933594	-24.66	-173.46	1.00
108.398438	-24.66	-173.38	1.00
109.863281	-24.66	-173.30	1.00
111.328125	-24.65	-173.19	1.00
112.792969	-24.64	-173.00	1.00
114.257812	-24.65	-173.04	1.00
115.722656	-24.65	-173.01	1.00
117.187500	-24.64	-172.86	1.00
118.652344	-24.64	-172.85	1.00
120.117188	-24.65	-172.69	1.00
121.582031	-24.66	-172.70	1.00
123.046875	-24.64	-172.67	1.00
124.511719	-24.65	-172.48	1.00
125.976562	-24.65	-172.42	1.00
127.441406	-24.64	-172.36	1.00
128.906250	-24.64	-172.31	1.00
130.371094	-24.63	-172.25	1.00
131.835938	-24.63	-172.10	1.00
133.300781	-24.64	-172.15	1.00
134.765625	-24.63	-172.15	1.00
136.230469	-24.63	-172.03	1.00
137.695312	-24.62	-171.96	1.00
139.160156	-24.62	-171.79	1.00
140.625000	-24.62	-171.76	1.00
143.554688	-24.62	-171.68	1.00
146.484375	-24.61	-171.47	1.00
149.414062	-24.60	-171.38	1.00
152.343750	-24.61	-171.20	1.00
155.273438	-24.60	-170.97	1.00
158.203125	-24.59	-170.85	1.00
161.132812	-24.59	-170.68	1.00
164.062500	-24.58	-170.61	1.00
166.992188	-24.59	-170.53	1.00
169.921875	-24.58	-170.30	1.00
172.851562	-24.57	-170.13	1.00
175.781250	-24.57	-170.05	1.00
178.710938	-24.56	-169.94	1.00
181.640625	-24.55	-169.78	1.00
184.570312	-24.53	-169.72	1.00
187.500000	-24.53	-169.39	1.00
190.429688	-24.54	-169.27	1.00
193.359375	-24.54	-169.19	1.00
196.289062	-24.53	-169.06	1.00
199.218750	-24.51	-168.88	1.00
202.148438	-24.53	-168.65	1.00
205.078125	-24.51	-168.50	1.00
208.007812	-24.51	-168.53	1.00
210.937500	-24.50	-168.42	1.00
213.867188	-24.50	-168.23	1.00
216.796875	-24.49	-168.01	1.00
219.726562	-24.48	-167.85	1.00
222.656250	-24.48	-167.79	1.00
225.585938	-24.47	-167.64	1.00
228.515625	-24.48	-167.42	1.00
231.445312	-24.45	-167.26	1.00
234.375000	-24.46	-167.18	1.00
237.304688	-24.45	-166.99	1.00
240.234375	-24.44	-166.82	1.00
243.164062	-24.44	-166.63	1.00
246.093750	-24.43	-166.60	1.00
249.023438	-24.42	-166.41	1.00
251.953125	-24.41	-166.36	1.00
254.882812	-24.41	-166.15	1.00
257.812500	-24.40	-166.00	1.00
260.742188	-24.39	-165.92	1.00
263.671875	-24.39	-165.73	1.00
266.601562	-24.38	-165.59	1.00
269.531250	-24.38	-165.40	1.00
272.460938	-24.37	-165.31	1.00
275.390625	-24.38	-165.15	1.00
278.320312	-24.35	-164.96	1.00
281.250000	-24.36	-164.79	1.00
287.109375	-24.35	-164.60	1.00
292.968750	-24.30	-164.19	1.00
298.828125	-24.32	-163.97	1.00
304.687500	-24.28	-163.79	1.00
310.546875	-24.27	-163.48	1.00
316.406250	-24.26	-163.31	1.00
322.265625	-24.27	-162.79	1.00
328.125000	-24.22	-162.54	1.00
333.984375	-24.21	-162.28	1.00
339.843750	-24.20	-161.95	1.00
345.703125	-24.18	-161.81	1.00
351.562500	-24.16	-161.49	1.00
357.421875	-24.15	-161.39	1.00
363.281250	-24.09	-160.96	1.00
369.140625	-24.09	-160.60	1.00
375.000000	-24.09	-160.45	1.00
380.859375	-24.06	-159.92	1.00
386.718750	-24.07	-159.95	1.00
392.578125	-24.03	-159.53	1.00
398.437500	-24.01	-159.36	1.00
404.296875	-24.01	-159.13	1.00
410.156250	-23.97	-158.81	1.00
416.015625	-23.95	-158.44	1.00
421.875000	-23.93	-158.31	1.00
427.734375	-23.92	-158.10	1.00
433.593750	-23.89	-157.76	1.00
439.453125	-23.86	-157.50	1.00
445.312500	-23.84	-157.16	1.00
451.171875	-23.83	-157.09	1.00
457.031250	-23.82	-156.78	1.00
462.890625	-23.79	-156.38	1.00
468.750000	-23.77	-156.25	1.00
474.609375	-23.74	-155.88	1.00
480.468750	-23.74	-155.65	1.00
486.328125	-23.72	-155.37	1.00
492.187500	-23.68	-155.25	1.00
