	bell 7k5 sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-27.18	-146.57	0.98
2.929688	-25.60	-157.94	1.00
4.394531	-25.47	-157.22	1.00
5.859375	-25.21	-164.87	1.00
7.324219	-25.01	-167.80	1.00
8.789062	-24.91	-170.72	1.00
10.253906	-24.80	-170.77	1.00
11.718750	-24.86	-171.23	1.00
13.183594	-24.88	-173.12	1.00
14.648438	-24.83	-173.37	1.00
16.113281	-24.83	-173.41	1.00
17.578125	-24.88	-174.08	1.00
19.042969	-24.74	-173.96	1.00
20.507812	-24.63	-173.96	1.00
21.972656	-24.74	-175.55	1.00
23.437500	-24.74	-175.77	1.00
24.902344	-24.72	-175.69	1.00
26.367188	-24.68	-175.60	1.00
27.832031	-24.68	-175.86	1.00
29.296875	-24.73	-175.69	1.00
30.761719	-24.73	-175.72	1.00
32.226562	-24.70	-175.86	1.00
33.691406	-24.70	-176.07	1.00
35.156250	-24.75	-175.99	1.00
36.621094	-24.72	-176.05	1.00
38.085938	-24.72	-176.15	1.00
39.550781	-24.72	-176.13	1.00
41.015625	-24.71	-176.29	1.00
42.480469	-24.77	-176.13	1.00
43.945312	-24.65	-175.64	1.00
45.410156	-24.70	-176.27	1.00
46.875000	-24.68	-176.26	1.00
48.339844	-24.71	-176.35	1.00
49.804688	-24.76	-176.13	1.00
51.269531	-24.73	-176.16	1.00
52.734375	-24.72	-175.95	1.00
54.199219	-24.70	-175.97	1.00
55.664062	-24.70	-175.93	1.00
57.128906	-24.68	-175.90	1.00
58.593750	-24.67	-176.07	1.00
60.058594	-24.73	-175.95	1.00
61.523438	-24.73	-175.85	1.00
62.988281	-24.66	-176.06	1.00
64.453125	-24.68	-176.18	1.00
65.917969	-24.69	-175.88	1.00
67.382812	-24.69	-176.00	1.00
68.847656	-24.69	-175.82	1.00
70.312500	-24.69	-175.78	1.00
71.777344	-24.67	-175.53	1.00
73.242188	-24.71	-175.75	1.00
74.707031	-24.67	-175.68	1.00
76.171875	-24.68	-175.77	1.00
77.636719	-24.72	-176.38	1.00
79.101562	-24.69	-175.67	1.00
80.566406	-24.68	-175.48	1.00
82.031250	-24.70	-175.68	1.00
83.496094	-24.70	-175.59	1.00
84.960938	-24.70	-175.39	1.00
86.425781	-24.69	-175.45	1.00
87.890625	-24.66	-175.29	1.00
89.355469	-24.68	-175.32	1.00
90.820312	-24.69	-175.43	1.00
92.285156	-24.68	-175.43	1.00
93.750000	-24.67	-175.27	1.00
95.214844	-24.66	-175.23	1.00
96.679688	-24.67	-175.27	1.00
98.144531	-24.67	-175.12	1.00
99.609375	-24.61	-175.17	1.00
101.074219	-24.66	-175.14	1.00
102.539062	-24.67	-174.97	1.00
104.003906	-24.66	-175.00	1.00
105.468750	-24.67	-174.89	1.00
106.933594	-24.67	-174.85	1.00
108.398438	-24.67	-174.91	1.00
109.863281	-24.65	-174.85	1.00
111.328125	-24.67	-174.57	1.00
112.792969	-24.64	-174.72	1.00
114.257812	-24.65	-174.69	1.00
