	bell 9k2 broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.16	-149.56	0.97
2.929688	-25.64	-155.34	0.99
4.394531	-25.31	-161.51	1.00
5.859375	-25.00	-165.66	1.00
7.324219	-24.97	-167.07	1.00
8.789062	-24.83	-169.88	1.00
10.253906	-24.80	-171.36	1.00
11.718750	-24.82	-172.07	1.00
13.183594	-24.69	-172.83	1.00
14.648438	-24.83	-173.81	1.00
16.113281	-24.79	-173.94	1.00
17.578125	-24.73	-173.97	1.00
19.042969	-24.75	-174.76	1.00
20.507812	-24.76	-174.91	1.00
21.972656	-24.71	-174.79	1.00
23.437500	-24.77	-175.29	1.00
24.902344	-24.80	-175.14	1.00
26.367188	-24.61	-175.33	1.00
27.832031	-24.75	-176.01	1.00
29.296875	-24.76	-175.90	1.00
30.761719	-24.69	-175.97	1.00
32.226562	-24.71	-175.84	1.00
33.691406	-24.71	-175.89	1.00
35.156250	-24.70	-175.92	1.00
36.621094	-24.74	-176.40	1.00
38.085938	-24.72	-176.22	1.00
39.550781	-24.74	-176.18	1.00
41.015625	-24.69	-175.96	1.00
42.480469	-24.71	-176.17	1.00
43.945312	-24.72	-175.99	1.00
45.410156	-24.72	-176.53	1.00
46.875000	-24.68	-176.22	1.00
48.339844	-24.74	-176.14	1.00
49.804688	-24.75	-175.66	1.00
51.269531	-24.74	-176.17	1.00
52.734375	-24.72	-176.28	1.00
54.199219	-24.71	-176.33	1.00
55.664062	-24.70	-176.11	1.00
57.128906	-24.70	-176.09	1.00
58.593750	-24.76	-176.24	1.00
60.058594	-24.71	-176.30	1.00
61.523438	-24.68	-175.98	1.00
62.988281	-24.69	-176.02	1.00
64.453125	-24.63	-175.89	1.00
65.917969	-24.70	-176.15	1.00
67.382812	-24.67	-176.20	1.00
68.847656	-24.66	-175.91	1.00
70.312500	-24.66	-175.85	1.00
71.777344	-24.70	-175.88	1.00
73.242188	-24.72	-175.78	1.00
74.707031	-24.68	-175.92	1.00
76.171875	-24.69	-175.82	1.00
77.636719	-24.69	-175.77	1.00
79.101562	-24.67	-175.70	1.00
80.566406	-24.65	-175.77	1.00
82.031250	-24.68	-175.69	1.00
83.496094	-24.68	-175.52	1.00
84.960938	-24.69	-175.56	1.00
86.425781	-24.69	-175.37	1.00
87.890625	-24.65	-175.33	1.00
89.355469	-24.67	-175.54	1.00
90.820312	-24.66	-175.42	1.00
92.285156	-24.66	-175.29	1.00
93.750000	-24.66	-175.41	1.00
