	boost 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-15.30	-154.61	1.00
2.929688	-14.57	-163.49	1.00
4.394531	-14.12	-168.29	1.00
5.859375	-13.95	-172.50	1.00
7.324219	-13.89	-177.00	1.00
8.789062	-13.83	178.82	1.00
10.253906	-13.87	177.39	1.00
11.718750	-13.89	174.89	1.00
13.183594	-13.90	173.68	1.00
14.648438	-14.01	171.44	1.00
16.113281	-14.06	170.34	1.00
17.578125	-14.12	168.68	1.00
19.042969	-14.16	168.29	1.00
20.507812	-14.37	164.43	1.00
21.972656	-14.46	164.27	1.00
23.437500	-14.47	163.87	1.00
24.902344	-14.70	161.75	1.00
26.367188	-14.74	161.27	1.00
27.832031	-14.78	160.79	1.00
29.296875	-14.99	158.45	1.00
30.761719	-15.08	158.48	1.00
32.226562	-15.19	157.58	1.00
33.691406	-15.35	156.54	1.00
35.156250	-15.48	155.69	1.00
36.621094	-15.68	154.62	1.00
38.085938	-15.74	154.40	1.00
39.550781	-15.83	153.66	1.00
41.015625	-15.89	153.51	1.00
42.480469	-16.16	152.34	1.00
43.945312	-16.18	152.15	1.00
45.410156	-16.38	151.51	1.00
46.875000	-16.43	151.25	1.00
48.339844	-16.67	150.72	1.00
49.804688	-16.79	150.10	1.00
51.269531	-16.91	150.10	1.00
52.734375	-16.88	149.65	1.00
54.199219	-17.04	149.40	1.00
55.664062	-17.20	148.80	1.00
57.128906	-17.30	148.73	1.00
58.593750	-17.38	148.49	1.00
60.058594	-17.50	147.76	1.00
61.523438	-17.64	148.17	1.00
62.988281	-17.72	147.73	1.00
64.453125	-17.84	147.56	1.00
65.917969	-18.00	147.32	1.00
67.382812	-18.00	147.30	1.00
68.847656	-18.08	147.34	1.00
70.312500	-18.26	146.99	1.00
71.777344	-18.39	147.16	1.00
73.242188	-18.49	146.56	1.00
74.707031	-18.57	146.45	1.00
76.171875	-18.58	146.43	1.00
77.636719	-18.78	146.46	1.00
79.101562	-18.78	146.38	1.00
80.566406	-18.91	146.48	1.00
82.031250	-18.97	146.42	1.00
83.496094	-19.07	146.48	1.00
84.960938	-19.23	146.87	1.00
86.425781	-19.33	146.32	1.00
87.890625	-19.37	146.24	1.00
89.355469	-19.41	146.14	1.00
90.820312	-19.50	146.41	1.00
92.285156	-19.57	146.46	1.00
93.750000	-19.66	146.47	1.00
95.214844	-19.74	146.29	1.00
96.679688	-19.81	146.55	1.00
98.144531	-19.83	146.72	1.00
99.609375	-20.09	147.03	1.00
101.074219	-20.00	146.85	1.00
102.539062	-20.13	146.66	1.00
104.003906	-20.18	147.14	1.00
105.468750	-20.25	146.96	1.00
106.933594	-20.29	147.03	1.00
108.398438	-20.39	147.14	1.00
109.863281	-20.41	147.04	1.00
111.328125	-20.53	147.41	1.00
112.792969	-20.55	147.39	1.00
114.257812	-20.61	147.18	1.00
115.722656	-20.72	147.44	1.00
117.187500	-20.71	147.48	1.00
118.652344	-20.80	147.53	1.00
120.117188	-20.79	147.84	1.00
121.582031	-20.88	147.98	1.00
123.046875	-20.96	148.33	1.00
124.511719	-21.02	148.20	1.00
125.976562	-21.00	148.16	1.00
127.441406	-21.08	148.28	1.00
128.906250	-21.14	148.49	1.00
130.371094	-21.20	148.49	1.00
131.835938	-21.26	148.63	1.00
133.300781	-21.30	148.58	1.00
134.765625	-21.32	148.75	1.00
136.230469	-21.36	149.22	1.00
137.695312	-21.46	149.14	1.00
139.160156	-21.44	149.70	1.00
140.625000	-21.44	149.83	1.00
143.554688	-21.66	149.91	1.00
146.484375	-21.60	149.25	1.00
149.414062	-21.68	149.89	1.00
152.343750	-21.79	150.58	1.00
155.273438	-21.96	150.54	1.00
158.203125	-21.99	151.04	1.00
161.132812	-22.04	151.12	1.00
164.062500	-22.17	151.49	1.00
166.992188	-22.16	151.54	1.00
169.921875	-22.25	151.97	1.00
172.851562	-22.48	152.87	1.00
175.781250	-22.38	152.34	1.00
178.710938	-22.42	152.58	1.00
181.640625	-22.48	153.55	1.00
184.570312	-22.53	153.39	1.00
187.500000	-22.49	153.39	1.00
190.429688	-22.72	153.83	1.00
193.359375	-22.62	153.13	1.00
196.289062	-22.65	153.89	1.00
199.218750	-22.75	154.81	1.00
202.148438	-22.93	154.39	1.00
205.078125	-22.84	155.41	1.00
208.007812	-22.91	154.81	1.00
210.937500	-22.98	155.64	1.00
213.867188	-23.03	155.36	1.00
216.796875	-22.97	155.82	1.00
219.726562	-23.03	155.01	1.00
222.656250	-23.04	155.66	1.00
225.585938	-23.03	156.13	1.00
228.515625	-23.12	156.53	1.00
231.445312	-23.24	156.73	1.00
234.375000	-23.27	156.74	1.00
237.304688	-23.33	157.30	1.00
240.234375	-23.24	157.32	1.00
243.164062	-23.29	157.34	1.00
246.093750	-23.32	157.92	1.00
249.023438	-23.23	157.90	1.00
251.953125	-23.36	158.73	1.00
254.882812	-23.40	158.50	1.00
257.812500	-23.48	158.40	1.00
260.742188	-23.51	158.70	1.00
263.671875	-23.55	158.80	1.00
266.601562	-23.56	159.08	1.00
269.531250	-23.61	159.81	1.00
272.460938	-23.65	159.39	1.00
275.390625	-23.62	160.19	1.00
278.320312	-23.62	160.19	1.00
281.250000	-23.62	159.83	1.00
287.109375	-23.75	160.50	1.00
292.968750	-23.69	160.44	1.00
298.828125	-23.69	161.19	1.00
304.687500	-23.82	161.30	1.00
310.546875	-23.75	161.81	1.00
316.406250	-23.85	162.04	1.00
322.265625	-23.82	162.17	1.00
328.125000	-23.86	162.44	1.00
333.984375	-23.87	162.96	1.00
339.843750	-23.88	163.62	1.00
345.703125	-23.96	163.14	1.00
351.562500	-23.79	164.08	1.00
357.421875	-24.00	163.02	1.00
363.281250	-24.01	164.10	1.00
369.140625	-24.08	164.47	1.00
375.000000	-24.04	164.34	1.00
380.859375	-24.09	164.66	1.00
386.718750	-24.12	165.05	1.00
392.578125	-24.08	165.29	1.00
398.437500	-24.17	165.52	1.00
404.296875	-24.13	165.22	1.00
410.156250	-24.16	165.83	1.00
416.015625	-24.17	165.90	1.00
421.875000	-24.21	165.82	1.00
427.734375	-24.24	166.49	1.00
433.593750	-24.16	166.23	1.00
439.453125	-24.22	166.69	1.00
445.312500	-24.21	167.24	1.00
451.171875	-24.34	166.55	1.00
457.031250	-24.29	166.90	1.00
462.890625	-24.24	167.36	1.00
468.750000	-24.29	167.71	1.00
474.609375	-24.29	167.67	1.00
480.468750	-24.15	167.35	1.00
486.328125	-24.27	168.17	1.00
492.187500	-24.29	168.34	1.00
498.046875	-24.32	168.23	1.00
503.906250	-24.32	168.33	1.00
509.765625	-24.35	168.80	1.00
515.625000	-24.23	168.86	1.00
521.484375	-24.34	168.71	1.00
527.343750	-24.39	169.30	1.00
533.203125	-24.42	168.90	1.00
539.062500	-24.43	169.52	1.00
544.921875	-24.40	169.24	1.00
550.781250	-24.41	169.24	1.00
556.640625	-24.45	169.30	1.00
562.500000	-24.42	170.05	1.00
574.218750	-24.50	170.60	1.00
585.937500	-24.38	170.41	1.00
597.656250	-24.52	170.26	1.00
609.375000	-24.46	170.85	1.00
621.093750	-24.31	171.75	1.00
632.812500	-24.55	171.17	1.00
644.531250	-24.53	172.11	1.00
656.250000	-24.50	171.57	1.00
667.968750	-24.50	171.22	1.00
679.687500	-24.36	172.72	1.00
691.406250	-24.61	172.13	1.00
703.125000	-24.45	171.91	1.00
714.843750	-24.55	172.95	1.00
726.562500	-24.44	171.86	1.00
738.281250	-24.46	173.37	1.00
750.000000	-24.59	172.85	1.00
761.718750	-24.45	172.92	1.00
773.437500	-24.54	173.44	1.00
785.156250	-24.49	173.02	1.00
796.875000	-24.55	172.69	1.00
808.593750	-24.48	174.35	1.00
820.312500	-24.51	173.88	1.00
832.031250	-24.38	174.38	1.00
843.750000	-24.70	173.48	1.00
855.468750	-24.52	174.12	1.00
867.187500	-24.46	173.97	1.00
878.906250	-24.47	174.19	1.00
890.625000	-24.46	174.47	1.00
902.343750	-24.60	173.98	1.00
914.062500	-24.56	174.96	1.00
