	puk 60 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-17.75	-159.71	0.99
2.929688	-17.81	-161.19	1.00
4.394531	-17.11	-170.16	1.00
5.859375	-16.84	-174.38	1.00
7.324219	-16.71	-176.15	1.00
8.789062	-16.80	-177.56	1.00
10.253906	-16.71	178.81	1.00
11.718750	-16.69	178.71	1.00
13.183594	-16.76	176.47	1.00
14.648438	-16.76	175.23	1.00
16.113281	-16.85	174.74	1.00
17.578125	-16.79	172.95	1.00
19.042969	-16.83	172.00	1.00
20.507812	-16.89	170.59	1.00
21.972656	-16.85	169.78	1.00
23.437500	-16.98	169.56	1.00
24.902344	-16.94	168.04	1.00
26.367188	-17.11	166.60	1.00
27.832031	-17.07	166.19	1.00
29.296875	-17.13	165.12	1.00
30.761719	-17.18	164.36	1.00
32.226562	-17.20	163.68	1.00
33.691406	-17.33	162.40	1.00
35.156250	-17.38	161.47	1.00
36.621094	-17.43	160.77	1.00
38.085938	-17.47	160.07	1.00
39.550781	-17.61	159.43	1.00
41.015625	-17.61	158.73	1.00
42.480469	-17.71	157.85	1.00
43.945312	-17.72	157.68	1.00
45.410156	-17.86	156.47	1.00
46.875000	-17.85	156.02	1.00
48.339844	-17.96	155.42	1.00
49.804688	-17.99	154.15	1.00
51.269531	-18.07	153.86	1.00
52.734375	-18.15	153.98	1.00
54.199219	-18.22	153.17	1.00
55.664062	-18.32	152.44	1.00
57.128906	-18.41	151.54	1.00
58.593750	-18.45	151.41	1.00
60.058594	-18.51	150.61	1.00
61.523438	-18.69	149.91	1.00
62.988281	-18.67	149.99	1.00
64.453125	-18.74	149.34	1.00
65.917969	-18.85	148.90	1.00
67.382812	-18.89	148.33	1.00
68.847656	-19.03	147.85	1.00
70.312500	-19.18	147.33	1.00
71.777344	-19.17	146.82	1.00
73.242188	-19.31	146.22	1.00
74.707031	-19.30	146.51	1.00
76.171875	-19.43	145.60	1.00
77.636719	-19.48	145.37	1.00
79.101562	-19.59	145.00	1.00
80.566406	-19.62	145.12	1.00
82.031250	-19.70	144.02	1.00
83.496094	-19.82	143.90	1.00
84.960938	-19.91	143.72	1.00
86.425781	-19.99	143.34	1.00
87.890625	-20.04	142.94	1.00
89.355469	-20.15	142.76	1.00
90.820312	-20.16	142.55	1.00
92.285156	-20.31	141.70	1.00
93.750000	-20.34	141.91	1.00
95.214844	-20.55	141.34	1.00
96.679688	-20.52	141.13	1.00
98.144531	-20.60	140.81	1.00
99.609375	-20.72	141.61	1.00
101.074219	-20.69	141.58	1.00
102.539062	-20.82	140.21	1.00
104.003906	-20.93	140.08	1.00
105.468750	-20.94	139.72	1.00
106.933594	-21.03	139.55	1.00
108.398438	-21.20	139.47	1.00
109.863281	-21.22	138.98	1.00
111.328125	-21.23	139.00	1.00
112.792969	-21.35	138.65	1.00
114.257812	-21.42	138.58	1.00
115.722656	-21.48	138.89	1.00
117.187500	-21.58	138.32	1.00
118.652344	-21.65	138.30	1.00
120.117188	-21.66	138.16	1.00
121.582031	-21.80	138.27	1.00
123.046875	-21.87	137.79	1.00
124.511719	-21.93	137.76	1.00
125.976562	-22.01	137.44	1.00
127.441406	-22.03	137.51	1.00
128.906250	-22.14	137.35	1.00
130.371094	-22.22	137.14	1.00
131.835938	-22.27	137.05	1.00
133.300781	-22.34	136.83	1.00
134.765625	-22.43	136.62	1.00
136.230469	-22.57	136.27	1.00
137.695312	-22.54	136.33	1.00
139.160156	-22.63	136.27	1.00
140.625000	-22.71	136.42	1.00
143.554688	-22.88	136.14	1.00
146.484375	-22.74	136.68	1.00
149.414062	-23.08	136.09	1.00
152.343750	-23.25	136.06	1.00
155.273438	-23.32	135.67	1.00
158.203125	-23.54	135.27	1.00
161.132812	-23.56	136.02	1.00
164.062500	-23.72	135.65	1.00
166.992188	-23.87	135.34	1.00
169.921875	-23.97	135.46	1.00
172.851562	-24.02	135.29	1.00
175.781250	-24.13	135.05	1.00
178.710938	-24.24	135.56	1.00
181.640625	-24.45	135.65	1.00
184.570312	-24.44	135.81	1.00
187.500000	-24.87	135.22	1.00
190.429688	-24.67	135.31	1.00
193.359375	-24.87	135.78	1.00
196.289062	-24.92	136.40	1.00
199.218750	-25.10	136.21	1.00
202.148438	-25.20	136.34	1.00
205.078125	-25.22	135.80	1.00
208.007812	-25.31	136.52	1.00
210.937500	-25.39	136.48	1.00
213.867188	-25.57	136.17	1.00
216.796875	-25.70	136.90	1.00
219.726562	-25.74	136.50	1.00
222.656250	-25.86	137.23	1.00
225.585938	-25.92	136.35	1.00
228.515625	-26.06	136.46	1.00
231.445312	-26.13	136.71	1.00
234.375000	-26.14	136.78	1.00
237.304688	-26.39	136.73	1.00
240.234375	-26.43	136.96	1.00
243.164062	-26.45	137.19	1.00
246.093750	-26.52	137.57	1.00
249.023438	-26.54	138.06	1.00
251.953125	-26.63	137.95	1.00
254.882812	-26.59	138.14	1.00
257.812500	-26.88	138.64	1.00
260.742188	-26.88	137.74	1.00
263.671875	-27.07	138.52	1.00
266.601562	-27.04	139.43	1.00
269.531250	-27.17	139.65	1.00
272.460938	-27.24	139.48	1.00
275.390625	-27.32	139.28	1.00
278.320312	-27.41	139.36	1.00
281.250000	-27.47	140.00	1.00
287.109375	-27.67	141.41	1.00
292.968750	-27.76	141.72	1.00
298.828125	-27.86	141.07	1.00
304.687500	-28.19	140.91	1.00
310.546875	-27.97	141.65	1.00
316.406250	-28.37	142.28	1.00
322.265625	-28.33	143.40	1.00
328.125000	-28.44	142.55	1.00
333.984375	-28.61	143.24	1.00
339.843750	-28.68	144.36	1.00
345.703125	-28.89	144.57	1.00
351.562500	-28.62	145.39	1.00
357.421875	-29.00	145.61	1.00
363.281250	-29.31	146.91	1.00
369.140625	-29.19	147.69	1.00
375.000000	-29.26	147.29	1.00
380.859375	-29.29	148.69	1.00
386.718750	-29.50	146.87	1.00
392.578125	-29.50	148.74	1.00
398.437500	-29.56	150.11	1.00
404.296875	-29.67	151.08	1.00
410.156250	-29.62	151.16	1.00
416.015625	-29.91	151.40	1.00
421.875000	-30.06	152.54	1.00
427.734375	-30.06	153.33	1.00
433.593750	-30.01	153.42	1.00
439.453125	-30.25	152.92	1.00
445.312500	-30.28	154.16	1.00
451.171875	-30.17	154.55	1.00
457.031250	-30.26	155.26	1.00
462.890625	-30.46	156.41	1.00
468.750000	-30.36	156.78	1.00
474.609375	-30.47	158.86	1.00
480.468750	-30.48	158.48	1.00
486.328125	-30.31	158.62	1.00
492.187500	-30.44	158.60	1.00
498.046875	-30.51	159.70	1.00
503.906250	-30.66	159.57	1.00
509.765625	-30.64	160.56	1.00
515.625000	-30.78	161.55	1.00
521.484375	-30.75	160.88	1.00
527.343750	-30.63	159.87	1.00
533.203125	-30.85	162.36	1.00
539.062500	-30.73	163.35	1.00
544.921875	-30.76	163.21	1.00
550.781250	-30.99	164.21	1.00
556.640625	-30.97	164.84	1.00
562.500000	-31.33	165.54	1.00
574.218750	-31.13	167.75	1.00
585.937500	-31.23	165.94	1.00
597.656250	-31.09	168.26	1.00
609.375000	-31.01	169.84	1.00
621.093750	-31.20	171.11	1.00
632.812500	-31.35	171.45	1.00
644.531250	-31.09	169.91	1.00
656.250000	-31.18	173.64	1.00
667.968750	-31.13	174.56	1.00
679.687500	-31.27	175.32	1.00
691.406250	-30.96	175.69	1.00
703.125000	-31.29	178.61	1.00
714.843750	-31.22	176.05	1.00
726.562500	-30.87	177.38	1.00
738.281250	-30.99	179.74	1.00
750.000000	-30.87	178.16	1.00
761.718750	-30.89	-179.70	1.00
773.437500	-30.75	-177.06	1.00
785.156250	-31.23	-178.42	1.00
796.875000	-30.94	-177.79	1.00
808.593750	-30.97	-177.17	1.00
820.312500	-30.86	-176.18	1.00
832.031250	-30.78	-175.15	1.00
843.750000	-30.85	-175.44	1.00
855.468750	-30.84	-173.95	1.00
867.187500	-30.64	-174.77	1.00
878.906250	-30.46	-174.41	1.00
890.625000	-30.57	-172.24	1.00
902.343750	-30.63	-171.46	1.00
914.062500	-30.59	-172.81	1.00
925.781250	-30.56	-171.76	1.00
937.500000	-30.57	-170.25	1.00
949.218750	-30.46	-170.33	1.00
960.937500	-30.52	-169.61	1.00
972.656250	-30.04	-170.00	1.00
984.375000	-30.34	-168.90	1.00
996.093750	-30.22	-168.88	1.00
1007.812500	-30.17	-168.30	1.00
1019.531250	-30.10	-166.86	1.00
1031.250000	-30.16	-166.72	1.00
1042.968750	-29.93	-166.13	1.00
1054.687500	-29.86	-167.75	1.00
1066.406250	-29.93	-166.47	1.00
1078.125000	-29.96	-165.37	1.00
1089.843750	-29.87	-165.42	1.00
1101.562500	-29.89	-165.81	1.00
1113.281250	-29.76	-165.16	1.00
1125.000000	-29.57	-165.69	1.00
1148.437500	-29.63	-163.88	1.00
1171.875000	-29.39	-162.03	1.00
1195.312500	-29.43	-163.12	1.00
1218.750000	-29.26	-162.77	1.00
1242.187500	-29.19	-162.61	1.00
1265.625000	-29.04	-162.78	1.00
1289.062500	-29.09	-162.52	1.00
1312.500000	-29.09	-161.57	1.00
1335.937500	-28.90	-160.83	1.00
1359.375000	-28.80	-160.18	1.00
1382.812500	-28.66	-160.81	1.00
1406.250000	-28.65	-160.59	1.00
1429.687500	-28.82	-160.73	1.00
1453.125000	-28.47	-159.88	1.00
1476.562500	-28.47	-159.57	1.00
1500.000000	-28.27	-159.08	1.00
1523.437500	-28.19	-159.09	1.00
1546.875000	-28.22	-158.85	1.00
1570.312500	-28.12	-159.19	1.00
1593.750000	-28.03	-158.60	1.00
1617.187500	-27.92	-158.56	1.00
1640.625000	-27.90	-157.85	1.00
1664.062500	-27.67	-158.30	1.00
1687.500000	-27.78	-158.12	1.00
1710.937500	-27.64	-157.66	1.00
1734.375000	-27.63	-158.48	1.00
1757.812500	-27.54	-158.06	1.00
1781.250000	-27.46	-157.25	1.00
1804.687500	-27.34	-158.33	1.00
1828.125000	-27.35	-157.91	1.00
1851.562500	-27.34	-157.93	1.00
1875.000000	-27.17	-158.04	1.00
1898.437500	-27.18	-157.99	1.00
1921.875000	-27.13	-157.70	1.00
1945.312500	-27.08	-157.74	1.00
1968.750000	-26.96	-158.21	1.00
1992.187500	-26.92	-157.55	1.00
2015.625000	-26.91	-157.64	1.00
2039.062500	-26.96	-158.37	1.00
2062.500000	-26.73	-157.80	1.00
2085.937500	-26.76	-157.82	1.00
2109.375000	-26.72	-158.05	1.00
2132.812500	-26.70	-158.05	1.00
2156.250000	-26.66	-158.44	1.00
2179.687500	-26.49	-157.85	1.00
2203.125000	-26.52	-158.84	1.00
2226.562500	-26.47	-158.31	1.00
2250.000000	-26.40	-157.80	1.00
2296.875000	-26.36	-158.21	1.00
2343.750000	-26.26	-158.15	1.00
2390.625000	-26.22	-158.89	1.00
2437.500000	-26.14	-159.14	1.00
2484.375000	-25.99	-158.73	1.00
2531.250000	-25.93	-159.01	1.00
2578.125000	-26.00	-159.04	1.00
2625.000000	-25.75	-159.50	1.00
2671.875000	-25.76	-160.13	1.00
2718.750000	-25.77	-159.18	1.00
2765.625000	-25.67	-159.74	1.00
2812.500000	-25.60	-159.54	1.00
2859.375000	-25.54	-159.89	1.00
2906.250000	-25.48	-160.55	1.00
2953.125000	-25.49	-159.93	1.00
3000.000000	-25.36	-160.41	1.00
3046.875000	-25.32	-160.37	1.00
3093.750000	-25.30	-161.10	1.00
3140.625000	-25.24	-160.39	1.00
3187.500000	-25.27	-161.43	1.00
3234.375000	-25.14	-161.14	1.00
3281.250000	-25.11	-161.53	1.00
3328.125000	-25.08	-161.22	1.00
3375.000000	-25.05	-161.61	1.00
3421.875000	-24.98	-161.84	1.00
3468.750000	-24.97	-162.22	1.00
3515.625000	-24.93	-162.19	1.00
3562.500000	-24.90	-162.13	1.00
3609.375000	-24.89	-162.63	1.00
3656.250000	-24.84	-162.79	1.00
3703.125000	-24.79	-162.86	1.00
3750.000000	-24.75	-163.03	1.00
3796.875000	-24.74	-163.24	1.00
3843.750000	-24.69	-163.12	1.00
3890.625000	-24.68	-163.38	1.00
3937.500000	-24.63	-163.70	1.00
3984.375000	-24.66	-163.78	1.00
4031.250000	-24.61	-164.15	1.00
4078.125000	-24.58	-164.12	1.00
4125.000000	-24.55	-164.14	1.00
4171.875000	-24.53	-164.33	1.00
4218.750000	-24.52	-164.60	1.00
4265.625000	-24.47	-164.63	1.00
4312.500000	-24.44	-164.65	1.00
4359.375000	-24.43	-164.85	1.00
4406.250000	-24.43	-165.22	1.00
4453.125000	-24.41	-165.33	1.00
4500.000000	-24.40	-165.27	1.00
4593.750000	-24.38	-165.58	1.00
4687.500000	-24.32	-165.59	1.00
4781.250000	-24.29	-166.09	1.00
4875.000000	-24.28	-166.29	1.00
4968.750000	-24.22	-166.36	1.00
5062.500000	-24.20	-166.55	1.00
5156.250000	-24.16	-166.95	1.00
5250.000000	-24.13	-167.36	1.00
5343.750000	-24.10	-167.36	1.00
5437.500000	-24.08	-167.54	1.00
5531.250000	-24.06	-167.82	1.00
5625.000000	-24.08	-168.23	1.00
5718.750000	-24.05	-168.36	1.00
5812.500000	-24.00	-168.47	1.00
