	rta plana		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.94	-143.69	0.99
2.929688	-26.14	-147.48	0.99
4.394531	-25.37	-158.68	1.00
5.859375	-25.09	-164.93	1.00
7.324219	-25.02	-167.91	1.00
8.789062	-24.87	-169.93	1.00
10.253906	-24.86	-171.84	1.00
11.718750	-24.82	-172.49	1.00
13.183594	-24.73	-173.45	1.00
14.648438	-24.74	-173.70	1.00
16.113281	-24.72	-174.67	1.00
17.578125	-24.78	-175.07	1.00
19.042969	-24.80	-175.21	1.00
20.507812	-24.71	-176.29	1.00
21.972656	-24.73	-175.84	1.00
23.437500	-24.75	-175.93	1.00
24.902344	-24.73	-176.23	1.00
26.367188	-24.70	-176.78	1.00
27.832031	-24.70	-176.66	1.00
29.296875	-24.78	-176.73	1.00
30.761719	-24.74	-176.85	1.00
32.226562	-24.73	-176.72	1.00
33.691406	-24.73	-177.19	1.00
35.156250	-24.76	-177.45	1.00
36.621094	-24.72	-177.51	1.00
38.085938	-24.74	-177.55	1.00
39.550781	-24.72	-177.63	1.00
41.015625	-24.69	-177.83	1.00
42.480469	-24.76	-177.59	1.00
43.945312	-24.72	-177.83	1.00
45.410156	-24.74	-177.88	1.00
46.875000	-24.72	-177.88	1.00
48.339844	-24.72	-177.87	1.00
49.804688	-24.69	-177.58	1.00
51.269531	-24.74	-177.98	1.00
52.734375	-24.70	-178.14	1.00
54.199219	-24.69	-178.03	1.00
55.664062	-24.68	-178.12	1.00
57.128906	-24.76	-178.15	1.00
58.593750	-24.72	-178.01	1.00
60.058594	-24.74	-178.23	1.00
61.523438	-24.71	-178.44	1.00
62.988281	-24.72	-178.50	1.00
64.453125	-24.73	-178.59	1.00
65.917969	-24.72	-178.51	1.00
67.382812	-24.73	-178.50	1.00
68.847656	-24.71	-178.47	1.00
70.312500	-24.73	-178.56	1.00
71.777344	-24.72	-178.48	1.00
73.242188	-24.73	-178.62	1.00
74.707031	-24.72	-178.54	1.00
76.171875	-24.71	-178.54	1.00
77.636719	-24.73	-178.64	1.00
79.101562	-24.74	-178.64	1.00
80.566406	-24.76	-178.41	1.00
82.031250	-24.74	-178.67	1.00
83.496094	-24.67	-178.75	1.00
84.960938	-24.71	-178.54	1.00
86.425781	-24.74	-178.72	1.00
87.890625	-24.73	-178.76	1.00
89.355469	-24.70	-178.76	1.00
90.820312	-24.70	-178.87	1.00
92.285156	-24.71	-178.79	1.00
93.750000	-24.72	-178.77	1.00
95.214844	-24.72	-178.74	1.00
96.679688	-24.71	-178.83	1.00
98.144531	-24.71	-178.91	1.00
99.609375	-24.71	-178.76	1.00
101.074219	-24.72	-178.84	1.00
102.539062	-24.71	-178.85	1.00
104.003906	-24.71	-178.89	1.00
105.468750	-24.71	-178.99	1.00
106.933594	-24.70	-178.93	1.00
108.398438	-24.71	-178.90	1.00
109.863281	-24.70	-178.98	1.00
111.328125	-24.73	-178.87	1.00
112.792969	-24.72	-178.84	1.00
114.257812	-24.72	-178.87	1.00
115.722656	-24.72	-178.97	1.00
117.187500	-24.71	-178.94	1.00
118.652344	-24.71	-178.99	1.00
120.117188	-24.70	-179.06	1.00
121.582031	-24.72	-178.95	1.00
123.046875	-24.72	-178.96	1.00
124.511719	-24.72	-178.93	1.00
125.976562	-24.72	-178.98	1.00
127.441406	-24.71	-179.01	1.00
128.906250	-24.69	-179.12	1.00
130.371094	-24.69	-179.08	1.00
131.835938	-24.71	-179.05	1.00
133.300781	-24.72	-179.00	1.00
134.765625	-24.72	-178.99	1.00
136.230469	-24.72	-179.01	1.00
137.695312	-24.72	-179.00	1.00
139.160156	-24.71	-179.02	1.00
140.625000	-24.71	-178.95	1.00
143.554688	-24.71	-179.08	1.00
146.484375	-24.70	-179.23	1.00
149.414062	-24.71	-179.03	1.00
152.343750	-24.71	-179.02	1.00
155.273438	-24.71	-179.05	1.00
158.203125	-24.71	-179.08	1.00
161.132812	-24.70	-179.10	1.00
164.062500	-24.72	-179.03	1.00
166.992188	-24.70	-179.07	1.00
169.921875	-24.70	-179.10	1.00
172.851562	-24.71	-179.13	1.00
175.781250	-24.71	-179.10	1.00
178.710938	-24.71	-179.16	1.00
181.640625	-24.71	-179.13	1.00
184.570312	-24.71	-179.08	1.00
187.500000	-24.71	-179.15	1.00
190.429688	-24.70	-179.20	1.00
193.359375	-24.71	-179.10	1.00
196.289062	-24.72	-179.13	1.00
199.218750	-24.72	-179.10	1.00
202.148438	-24.70	-179.11	1.00
205.078125	-24.70	-179.10	1.00
208.007812	-24.71	-179.07	1.00
210.937500	-24.71	-179.12	1.00
213.867188	-24.71	-179.09	1.00
216.796875	-24.71	-179.06	1.00
219.726562	-24.71	-179.05	1.00
222.656250	-24.71	-179.11	1.00
225.585938	-24.71	-179.06	1.00
228.515625	-24.71	-179.12	1.00
231.445312	-24.71	-179.11	1.00
234.375000	-24.70	-179.11	1.00
237.304688	-24.71	-179.16	1.00
240.234375	-24.70	-179.13	1.00
243.164062	-24.71	-179.08	1.00
246.093750	-24.71	-179.09	1.00
249.023438	-24.71	-179.08	1.00
251.953125	-24.72	-179.09	1.00
254.882812	-24.71	-179.10	1.00
257.812500	-24.71	-179.11	1.00
260.742188	-24.71	-179.10	1.00
263.671875	-24.70	-179.08	1.00
266.601562	-24.70	-179.08	1.00
269.531250	-24.70	-179.10	1.00
272.460938	-24.71	-179.11	1.00
275.390625	-24.71	-179.10	1.00
278.320312	-24.71	-179.07	1.00
281.250000	-24.71	-179.14	1.00
287.109375	-24.69	-179.11	1.00
292.968750	-24.70	-179.05	1.00
298.828125	-24.70	-179.06	1.00
304.687500	-24.71	-179.07	1.00
310.546875	-24.70	-179.05	1.00
316.406250	-24.69	-179.09	1.00
322.265625	-24.71	-179.05	1.00
328.125000	-24.69	-179.06	1.00
333.984375	-24.70	-179.02	1.00
339.843750	-24.70	-179.05	1.00
345.703125	-24.70	-179.03	1.00
351.562500	-24.70	-178.98	1.00
357.421875	-24.69	-179.00	1.00
363.281250	-24.70	-179.00	1.00
369.140625	-24.69	-178.97	1.00
375.000000	-24.70	-179.00	1.00
380.859375	-24.70	-178.94	1.00
386.718750	-24.70	-178.96	1.00
392.578125	-24.70	-178.99	1.00
398.437500	-24.69	-178.94	1.00
404.296875	-24.69	-178.94	1.00
410.156250	-24.70	-178.95	1.00
416.015625	-24.69	-178.92	1.00
421.875000	-24.70	-178.91	1.00
427.734375	-24.69	-178.91	1.00
433.593750	-24.69	-178.93	1.00
439.453125	-24.71	-178.94	1.00
445.312500	-24.69	-178.86	1.00
451.171875	-24.68	-178.88	1.00
457.031250	-24.69	-178.88	1.00
462.890625	-24.69	-178.86	1.00
468.750000	-24.69	-178.82	1.00
474.609375	-24.69	-178.92	1.00
480.468750	-24.68	-178.84	1.00
486.328125	-24.69	-178.83	1.00
492.187500	-24.68	-178.84	1.00
498.046875	-24.69	-178.82	1.00
503.906250	-24.69	-178.83	1.00
509.765625	-24.69	-178.80	1.00
515.625000	-24.69	-178.77	1.00
521.484375	-24.69	-178.72	1.00
527.343750	-24.68	-178.76	1.00
533.203125	-24.68	-178.76	1.00
539.062500	-24.69	-178.78	1.00
544.921875	-24.68	-178.74	1.00
550.781250	-24.68	-178.72	1.00
556.640625	-24.68	-178.69	1.00
562.500000	-24.68	-178.66	1.00
574.218750	-24.68	-178.67	1.00
585.937500	-24.68	-178.67	1.00
597.656250	-24.68	-178.70	1.00
609.375000	-24.68	-178.59	1.00
621.093750	-24.67	-178.61	1.00
632.812500	-24.67	-178.61	1.00
644.531250	-24.67	-178.64	1.00
656.250000	-24.68	-178.60	1.00
667.968750	-24.67	-178.53	1.00
679.687500	-24.66	-178.54	1.00
691.406250	-24.67	-178.51	1.00
703.125000	-24.65	-178.47	1.00
714.843750	-24.67	-178.49	1.00
726.562500	-24.65	-178.49	1.00
738.281250	-24.67	-178.48	1.00
750.000000	-24.66	-178.42	1.00
761.718750	-24.66	-178.40	1.00
773.437500	-24.66	-178.34	1.00
785.156250	-24.66	-178.34	1.00
796.875000	-24.66	-178.37	1.00
808.593750	-24.66	-178.27	1.00
820.312500	-24.65	-178.28	1.00
832.031250	-24.65	-178.35	1.00
843.750000	-24.66	-178.27	1.00
855.468750	-24.65	-178.25	1.00
867.187500	-24.65	-178.22	1.00
878.906250	-24.65	-178.21	1.00
890.625000	-24.64	-178.15	1.00
