	ECM8000_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-27.66	150.35	0.98
5.859375	-25.98	134.16	0.91
8.789063	-23.47	123.64	0.88
11.718750	-14.05	114.28	0.95
14.648438	-12.27	92.95	0.96
17.578125	-9.61	88.65	1.00
20.507813	-13.45	97.13	0.94
23.437500	-8.95	61.79	1.00
26.367188	-8.99	77.00	0.99
29.296875	-8.39	67.88	0.96
32.226563	-8.49	46.04	0.99
35.156250	-8.14	47.55	1.00
38.085938	-8.03	47.13	1.00
41.015625	-7.82	46.78	1.00
43.945313	-7.33	45.07	1.00
46.875000	-7.13	40.11	1.00
49.804688	-7.40	37.31	1.00
52.734375	-7.02	35.74	1.00
55.664063	-6.73	32.26	1.00
58.593750	-6.60	31.43	1.00
61.523438	-6.71	29.44	1.00
64.453125	-6.88	27.57	1.00
67.382813	-6.65	28.10	1.00
70.312500	-6.95	24.04	1.00
73.242188	-6.87	24.62	1.00
76.171875	-6.86	24.18	1.00
79.101563	-6.87	23.54	1.00
82.031250	-6.83	22.85	1.00
84.960938	-6.78	21.35	1.00
87.890625	-6.82	21.18	1.00
90.820313	-6.78	20.80	1.00
93.750000	-6.68	19.67	1.00
96.679688	-6.72	18.90	1.00
99.609375	-6.72	18.72	1.00
102.539063	-6.71	18.00	1.00
105.468750	-6.70	17.51	1.00
108.398438	-6.66	17.04	1.00
111.328125	-6.68	16.66	1.00
114.257813	-6.70	16.49	1.00
117.187500	-6.68	15.81	1.00
120.117188	-6.67	15.65	1.00
123.046875	-6.64	15.02	1.00
125.976563	-6.56	14.99	1.00
128.906250	-6.53	14.73	1.00
131.835938	-6.50	13.91	1.00
134.765625	-6.47	13.76	1.00
137.695313	-6.47	13.54	1.00
140.625000	-6.51	13.18	1.00
143.554688	-6.48	12.93	1.00
146.484375	-6.43	12.15	1.00
149.414063	-6.43	11.87	1.00
152.343750	-6.41	11.74	1.00
155.273438	-6.40	11.38	1.00
158.203125	-6.42	10.84	1.00
161.132813	-6.44	10.49	1.00
164.062500	-6.45	10.06	1.00
166.992188	-6.45	9.25	1.00
169.921875	-6.43	9.27	1.00
172.851563	-6.43	9.17	1.00
175.781250	-6.44	8.89	1.00
178.710938	-6.48	8.77	1.00
181.640625	-6.49	8.69	1.00
184.570313	-6.51	8.48	1.00
187.500000	-6.53	8.29	1.00
190.429688	-6.56	8.16	1.00
193.359375	-6.59	8.05	1.00
196.289063	-6.66	8.12	1.00
199.218750	-6.64	7.96	1.00
202.148438	-6.62	7.99	1.00
205.078125	-6.58	8.17	1.00
208.007813	-6.51	8.31	1.00
210.937500	-6.44	8.06	1.00
213.867188	-6.40	7.73	1.00
216.796875	-6.38	7.34	1.00
219.726563	-6.38	6.94	1.00
222.656250	-6.40	6.52	1.00
225.585938	-6.43	6.20	1.00
228.515625	-6.47	5.86	1.00
231.445313	-6.47	5.80	1.00
234.375000	-6.46	5.63	1.00
237.304688	-6.45	5.42	1.00
240.234375	-6.45	5.22	1.00
243.164063	-6.46	4.97	1.00
246.093750	-6.48	4.70	1.00
249.023438	-6.49	4.36	1.00
251.953125	-6.51	3.83	1.00
254.882813	-6.55	2.98	1.00
257.812500	-6.62	2.39	1.00
260.742188	-6.72	2.02	1.00
263.671875	-6.84	2.56	1.00
266.601563	-6.92	3.06	1.00
269.531250	-6.98	3.56	1.00
272.460938	-7.01	4.01	1.00
275.390625	-7.04	4.55	1.00
278.320313	-7.02	5.06	1.00
281.250000	-6.98	5.48	1.00
284.179688	-6.94	5.77	1.00
287.109375	-6.89	5.88	1.00
290.039063	-6.83	5.82	1.00
292.968750	-6.78	5.71	1.00
295.898438	-6.75	5.60	1.00
298.828125	-6.74	5.47	1.00
301.757813	-6.72	5.48	1.00
304.687500	-6.69	5.64	1.00
307.617188	-6.66	5.82	1.00
310.546875	-6.62	5.84	1.00
313.476563	-6.59	5.78	1.00
316.406250	-6.56	5.68	1.00
319.335938	-6.53	5.54	1.00
322.265625	-6.50	5.39	1.00
325.195313	-6.47	5.27	1.00
328.125000	-6.44	5.16	1.00
331.054688	-6.40	4.90	1.00
333.984375	-6.36	4.59	1.00
336.914063	-6.30	4.18	1.00
339.843750	-6.26	3.72	1.00
342.773438	-6.24	3.18	1.00
345.703125	-6.25	2.62	1.00
348.632813	-6.30	1.97	1.00
351.562500	-6.36	1.53	1.00
354.492188	-6.45	1.22	1.00
357.421875	-6.53	1.07	1.00
360.351563	-6.59	1.07	1.00
363.281250	-6.64	1.12	1.00
366.210938	-6.69	1.26	1.00
369.140625	-6.72	1.40	1.00
372.070313	-6.74	1.49	1.00
375.000000	-6.75	1.56	1.00
377.929688	-6.77	1.65	1.00
380.859375	-6.79	1.79	1.00
383.789063	-6.81	1.94	1.00
386.718750	-6.82	2.11	1.00
389.648438	-6.83	2.27	1.00
392.578125	-6.84	2.40	1.00
395.507813	-6.83	2.51	1.00
398.437500	-6.81	2.56	1.00
401.367188	-6.78	2.52	1.00
404.296875	-6.75	2.47	1.00
407.226563	-6.74	2.42	1.00
410.156250	-6.73	2.37	1.00
413.085938	-6.73	2.35	1.00
416.015625	-6.72	2.34	1.00
418.945313	-6.71	2.34	1.00
421.875000	-6.70	2.29	1.00
424.804688	-6.68	2.21	1.00
427.734375	-6.66	2.09	1.00
430.664063	-6.65	1.92	1.00
433.593750	-6.65	1.74	1.00
436.523438	-6.66	1.52	1.00
439.453125	-6.68	1.29	1.00
442.382813	-6.70	1.05	1.00
445.312500	-6.74	0.83	1.00
448.242188	-6.78	0.71	1.00
451.171875	-6.82	0.69	1.00
454.101563	-6.86	0.75	1.00
457.031250	-6.89	0.87	1.00
459.960938	-6.92	1.01	1.00
462.890625	-6.93	1.20	1.00
465.820313	-6.94	1.43	1.00
468.750000	-6.94	1.63	1.00
471.679688	-6.94	1.83	1.00
474.609375	-6.94	2.03	1.00
477.539063	-6.94	2.24	1.00
480.468750	-6.94	2.50	1.00
483.398438	-6.92	2.76	1.00
486.328125	-6.88	2.99	1.00
489.257813	-6.84	3.24	1.00
492.187500	-6.78	3.43	1.00
495.117188	-6.73	3.55	1.00
498.046875	-6.69	3.49	1.00
500.976563	-6.64	3.36	1.00
503.906250	-6.61	3.18	1.00
506.835938	-6.58	2.97	1.00
509.765625	-6.57	2.75	1.00
512.695313	-6.55	2.55	1.00
515.625000	-6.54	2.38	1.00
518.554688	-6.53	2.23	1.00
521.484375	-6.52	2.08	1.00
524.414063	-6.51	1.91	1.00
527.343750	-6.50	1.72	1.00
530.273438	-6.50	1.53	1.00
533.203125	-6.51	1.34	1.00
536.132813	-6.52	1.19	1.00
539.062500	-6.53	1.07	1.00
541.992188	-6.55	0.99	1.00
544.921875	-6.56	0.91	1.00
547.851563	-6.57	0.84	1.00
550.781250	-6.58	0.76	1.00
553.710938	-6.59	0.69	1.00
556.640625	-6.59	0.59	1.00
559.570313	-6.60	0.48	1.00
562.500000	-6.61	0.36	1.00
565.429688	-6.62	0.25	1.00
568.359375	-6.63	0.15	1.00
571.289063	-6.65	0.06	1.00
574.218750	-6.67	0.01	1.00
577.148438	-6.69	-0.01	1.00
580.078125	-6.70	0.01	1.00
583.007813	-6.71	0.03	1.00
585.937500	-6.72	0.06	1.00
588.867188	-6.72	0.06	1.00
591.796875	-6.71	0.03	1.00
594.726563	-6.70	-0.05	1.00
597.656250	-6.70	-0.13	1.00
600.585938	-6.70	-0.22	1.00
603.515625	-6.70	-0.31	1.00
606.445313	-6.71	-0.38	1.00
609.375000	-6.72	-0.43	1.00
612.304688	-6.74	-0.46	1.00
615.234375	-6.75	-0.48	1.00
618.164063	-6.76	-0.50	1.00
621.093750	-6.78	-0.51	1.00
624.023438	-6.78	-0.53	1.00
626.953125	-6.79	-0.55	1.00
629.882813	-6.80	-0.57	1.00
632.812500	-6.81	-0.59	1.00
635.742188	-6.82	-0.60	1.00
638.671875	-6.84	-0.61	1.00
641.601563	-6.85	-0.60	1.00
644.531250	-6.86	-0.58	1.00
647.460938	-6.87	-0.56	1.00
650.390625	-6.88	-0.54	1.00
653.320313	-6.88	-0.53	1.00
656.250000	-6.88	-0.52	1.00
659.179688	-6.89	-0.51	1.00
662.109375	-6.90	-0.52	1.00
665.039063	-6.91	-0.53	1.00
667.968750	-6.92	-0.53	1.00
670.898438	-6.94	-0.51	1.00
673.828125	-6.95	-0.47	1.00
676.757813	-6.96	-0.41	1.00
679.687500	-6.97	-0.31	1.00
682.617188	-6.97	-0.20	1.00
685.546875	-6.97	-0.09	1.00
688.476563	-6.97	-0.00	1.00
691.406250	-6.96	0.08	1.00
694.335938	-6.96	0.16	1.00
697.265625	-6.96	0.24	1.00
700.195313	-6.95	0.32	1.00
703.125000	-6.94	0.40	1.00
706.054688	-6.93	0.46	1.00
708.984375	-6.92	0.52	1.00
711.914063	-6.91	0.57	1.00
714.843750	-6.89	0.59	1.00
717.773438	-6.88	0.59	1.00
720.703125	-6.87	0.57	1.00
723.632813	-6.85	0.54	1.00
726.562500	-6.84	0.51	1.00
729.492188	-6.83	0.47	1.00
732.421875	-6.81	0.42	1.00
735.351563	-6.80	0.35	1.00
738.281250	-6.79	0.26	1.00
741.210938	-6.77	0.13	1.00
744.140625	-6.76	-0.02	1.00
747.070313	-6.76	-0.19	1.00
750.000000	-6.76	-0.39	1.00
752.929688	-6.77	-0.60	1.00
755.859375	-6.79	-0.76	1.00
758.789063	-6.82	-0.90	1.00
761.718750	-6.85	-0.99	1.00
764.648438	-6.88	-1.01	1.00
767.578125	-6.91	-0.97	1.00
770.507813	-6.94	-0.89	1.00
773.437500	-6.96	-0.76	1.00
776.367188	-6.98	-0.62	1.00
779.296875	-6.99	-0.47	1.00
782.226563	-7.00	-0.31	1.00
785.156250	-7.00	-0.14	1.00
788.085938	-6.99	0.03	1.00
791.015625	-6.98	0.18	1.00
793.945313	-6.97	0.31	1.00
796.875000	-6.95	0.41	1.00
799.804688	-6.93	0.49	1.00
802.734375	-6.91	0.56	1.00
805.664063	-6.89	0.61	1.00
808.593750	-6.87	0.63	1.00
811.523438	-6.85	0.63	1.00
814.453125	-6.83	0.61	1.00
817.382813	-6.82	0.55	1.00
820.312500	-6.81	0.48	1.00
823.242188	-6.80	0.40	1.00
826.171875	-6.79	0.29	1.00
829.101563	-6.79	0.18	1.00
832.031250	-6.79	0.07	1.00
834.960938	-6.79	-0.04	1.00
837.890625	-6.80	-0.13	1.00
840.820313	-6.80	-0.22	1.00
843.750000	-6.82	-0.29	1.00
846.679688	-6.83	-0.33	1.00
849.609375	-6.85	-0.35	1.00
852.539063	-6.87	-0.33	1.00
855.468750	-6.89	-0.26	1.00
858.398438	-6.90	-0.16	1.00
861.328125	-6.91	-0.02	1.00
864.257813	-6.91	0.13	1.00
867.187500	-6.90	0.31	1.00
870.117188	-6.89	0.47	1.00
873.046875	-6.87	0.60	1.00
875.976563	-6.83	0.68	1.00
878.906250	-6.79	0.69	1.00
881.835938	-6.74	0.58	1.00
884.765625	-6.70	0.32	1.00
887.695313	-6.67	-0.10	1.00
890.625000	-6.67	-0.53	1.00
893.554688	-6.69	-0.97	1.00
896.484375	-6.72	-1.35	1.00
899.414063	-6.76	-1.61	1.00
902.343750	-6.81	-1.75	1.00
905.273438	-6.85	-1.81	1.00
908.203125	-6.88	-1.80	1.00
911.132813	-6.91	-1.74	1.00
914.062500	-6.94	-1.65	1.00
916.992188	-6.95	-1.54	1.00
919.921875	-6.96	-1.41	1.00
922.851563	-6.96	-1.29	1.00
925.781250	-6.96	-1.18	1.00
928.710938	-6.95	-1.08	1.00
931.640625	-6.94	-0.99	1.00
934.570313	-6.93	-0.93	1.00
937.500000	-6.91	-0.88	1.00
940.429688	-6.90	-0.85	1.00
943.359375	-6.88	-0.84	1.00
946.289063	-6.86	-0.85	1.00
949.218750	-6.85	-0.89	1.00
952.148438	-6.84	-0.94	1.00
955.078125	-6.83	-1.01	1.00
958.007813	-6.82	-1.10	1.00
960.937500	-6.81	-1.20	1.00
963.867188	-6.81	-1.30	1.00
966.796875	-6.81	-1.41	1.00
969.726563	-6.82	-1.51	1.00
972.656250	-6.83	-1.60	1.00
975.585938	-6.84	-1.68	1.00
978.515625	-6.85	-1.73	1.00
981.445313	-6.87	-1.77	1.00
