	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-62.66	-143.72	0.84
5.859375	-63.58	-128.93	0.97
8.789063	-50.57	164.91	0.82
11.718750	-63.00	133.58	0.96
14.648438	-57.27	161.01	0.88
17.578125	-52.83	179.44	0.98
20.507813	-55.94	171.45	0.59
23.437500	-43.84	-119.83	0.98
26.367188	-43.89	-151.37	0.88
29.296875	-47.34	91.97	0.93
32.226563	-43.02	103.17	0.98
35.156250	-43.05	119.30	0.99
38.085938	-42.47	119.20	1.00
41.015625	-40.56	122.81	0.96
43.945313	-37.04	112.35	1.00
46.875000	-35.72	102.66	1.00
49.804688	-35.65	103.27	1.00
52.734375	-35.44	102.30	1.00
55.664063	-35.28	101.52	1.00
58.593750	-35.40	101.35	1.00
61.523438	-32.29	98.98	1.00
64.453125	-32.40	99.85	1.00
67.382813	-29.62	91.75	0.98
70.312500	-28.74	72.86	0.99
73.242188	-30.19	63.47	0.99
76.171875	-29.94	57.88	1.00
79.101563	-31.09	61.04	1.00
82.031250	-31.60	60.50	1.00
84.960938	-31.61	60.25	1.00
87.890625	-31.75	59.82	1.00
90.820313	-31.65	59.40	1.00
93.750000	-31.66	60.30	1.00
96.679688	-31.54	59.54	1.00
99.609375	-31.29	59.41	1.00
102.539063	-31.44	59.17	1.00
105.468750	-31.00	60.16	1.00
108.398438	-30.90	63.41	1.00
111.328125	-30.50	59.84	1.00
114.257813	-30.25	57.51	1.00
117.187500	-30.20	56.54	1.00
120.117188	-29.96	55.94	1.00
123.046875	-29.73	55.80	1.00
125.976563	-29.62	53.45	1.00
128.906250	-29.47	52.70	1.00
131.835938	-29.10	50.60	1.00
134.765625	-28.92	49.87	1.00
137.695313	-28.83	48.34	1.00
140.625000	-28.73	46.33	1.00
143.554688	-28.82	44.33	1.00
146.484375	-28.87	43.28	1.00
149.414063	-28.87	42.79	1.00
152.343750	-28.82	42.68	1.00
155.273438	-28.73	42.09	1.00
158.203125	-28.59	42.00	1.00
161.132813	-28.37	41.39	1.00
164.062500	-28.02	40.15	1.00
166.992188	-27.79	38.40	1.00
169.921875	-27.77	36.34	1.00
172.851563	-27.86	33.39	1.00
175.781250	-28.10	31.68	1.00
178.710938	-28.67	29.69	1.00
181.640625	-28.90	29.45	1.00
184.570313	-29.04	31.11	1.00
187.500000	-29.00	32.37	1.00
190.429688	-28.72	33.81	1.00
193.359375	-28.55	34.18	1.00
196.289063	-28.27	33.47	1.00
199.218750	-28.00	32.29	1.00
202.148438	-27.79	30.56	1.00
205.078125	-27.63	27.83	1.00
208.007813	-27.70	25.93	1.00
210.937500	-27.94	23.79	1.00
213.867188	-28.18	22.47	1.00
216.796875	-28.47	21.85	1.00
219.726563	-28.78	21.67	1.00
222.656250	-29.02	21.92	1.00
225.585938	-29.26	22.96	1.00
228.515625	-29.37	24.65	1.00
231.445313	-29.34	27.45	1.00
234.375000	-29.19	30.75	1.00
237.304688	-28.95	32.64	1.00
240.234375	-28.56	33.55	1.00
243.164063	-27.93	33.95	1.00
246.093750	-27.43	33.37	1.00
249.023438	-26.92	31.64	1.00
251.953125	-26.30	28.86	1.00
254.882813	-25.94	24.23	0.99
257.812500	-26.22	17.06	0.99
260.742188	-26.95	11.70	0.99
263.671875	-27.58	9.75	0.99
266.601563	-28.08	9.43	1.00
269.531250	-28.41	9.85	1.00
272.460938	-28.67	10.95	1.00
275.390625	-28.82	11.97	1.00
278.320313	-28.92	12.91	1.00
281.250000	-28.99	13.71	1.00
284.179688	-29.04	14.41	1.00
287.109375	-29.07	15.13	1.00
290.039063	-29.01	15.47	1.00
292.968750	-28.94	15.46	1.00
295.898438	-28.87	15.19	1.00
298.828125	-28.84	14.69	1.00
301.757813	-28.86	14.04	1.00
304.687500	-28.94	13.21	1.00
307.617188	-29.09	12.92	1.00
310.546875	-29.33	13.14	1.00
313.476563	-29.49	13.91	1.00
316.406250	-29.52	15.23	1.00
319.335938	-29.45	16.30	1.00
322.265625	-29.32	17.18	1.00
325.195313	-29.05	17.70	1.00
328.125000	-28.81	17.73	1.00
331.054688	-28.59	17.37	1.00
333.984375	-28.42	16.77	1.00
336.914063	-28.28	15.88	1.00
339.843750	-28.19	14.90	1.00
342.773438	-28.14	13.81	1.00
345.703125	-28.14	12.84	1.00
348.632813	-28.18	11.80	1.00
351.562500	-28.25	10.82	1.00
354.492188	-28.35	9.83	1.00
357.421875	-28.50	8.87	1.00
360.351563	-28.66	8.11	1.00
363.281250	-28.84	7.71	1.00
366.210938	-29.01	7.69	1.00
