* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:30:21
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
2.018738	6.496273	2.1534
2.355194	6.501509	2.5085
2.691650	6.506193	2.8517
3.028107	6.512589	3.1965
3.364563	6.518577	3.5333
3.701019	6.525101	3.8673
4.037476	6.531970	4.2028
4.373932	6.539203	4.5311
4.710388	6.546829	4.8595
5.046844	6.554493	5.1868
5.383301	6.563170	5.5110
5.719757	6.571592	5.8353
6.056213	6.581426	6.1546
6.392670	6.590492	6.4682
6.729126	6.600377	6.7863
7.065582	6.610404	7.0996
7.402039	6.621397	7.4108
7.738495	6.631760	7.7177
8.074951	6.643172	8.0259
8.411407	6.654575	8.3287
8.747864	6.665741	8.6287
9.084320	6.677537	8.9350
9.420776	6.689660	9.2352
9.757233	6.702348	9.5323
10.093689	6.714467	9.8321
10.430145	6.728212	10.1305
10.766602	6.741569	10.4203
11.103058	6.755258	10.7122
11.439514	6.768713	10.9989
11.775970	6.782799	11.2915
12.112427	6.796678	11.5869
12.448883	6.814453	11.8763
12.785339	6.829075	12.1384
13.121796	6.844001	12.4182
13.458252	6.858441	12.6994
13.794708	6.875392	12.9847
14.131165	6.891424	13.2564
14.467621	6.909244	13.5377
14.804077	6.926584	13.7962
15.140533	6.942786	14.0658
15.476990	6.961329	14.3415
15.813446	6.978602	14.6022
16.149902	6.998682	14.8640
16.486359	7.015197	15.1457
16.822815	7.041541	15.3478
17.159271	7.044378	15.6171
17.495728	7.073342	15.9540
17.832184	7.094666	16.1815
18.168640	7.117808	16.4425
18.505096	7.144485	16.6716
18.841553	7.164933	16.8383
19.178009	7.181278	17.0676
19.514465	7.199419	17.2553
19.850922	7.209979	17.5166
20.187378	7.230493	17.7695
20.523834	7.247867	18.0293
20.860291	7.266297	18.2730
21.196747	7.287887	18.5583
21.533203	7.309311	18.7815
21.869659	7.329942	19.0434
22.206116	7.351117	19.2958
22.542572	7.376037	19.5414
22.879028	7.396614	19.7870
23.215485	7.423169	20.0301
23.551941	7.445371	20.2623
23.888397	7.470048	20.4928
24.224854	7.493837	20.7434
24.561310	7.520836	20.9531
24.897766	7.543306	21.1900
25.234222	7.569944	21.4115
25.570679	7.593935	21.6388
25.907135	7.619961	21.8701
26.243591	7.647377	22.0900
26.580048	7.672367	22.3035
26.916504	7.698692	22.5321
27.252960	7.726009	22.7554
27.589417	7.754041	22.9684
27.925873	7.780645	23.1866
28.262329	7.809657	23.4051
28.598785	7.837522	23.6132
28.935242	7.866403	23.8326
29.271698	7.896280	24.0373
29.608154	7.925202	24.2396
29.944611	7.953528	24.4506
30.281067	7.984783	24.6580
30.617523	8.013711	24.8595
30.953979	8.045096	25.0661
31.290436	8.075319	25.2684
