* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:31:06
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado + 19 gr masa
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
2.018738	6.516025	2.1511
2.355194	6.521443	2.4980
2.691650	6.527331	2.8453
3.028107	6.534044	3.1840
3.364563	6.540548	3.5179
3.701019	6.547451	3.8564
4.037476	6.554905	4.1901
4.373932	6.563671	4.5221
4.710388	6.571123	4.8421
5.046844	6.579900	5.1792
5.383301	6.589108	5.4984
5.719757	6.598063	5.8261
6.056213	6.608312	6.1510
6.392670	6.618502	6.4696
6.729126	6.629370	6.7897
7.065582	6.639950	7.1033
7.402039	6.651299	7.4210
7.738495	6.662397	7.7329
8.074951	6.674394	8.0517
8.411407	6.687225	8.3579
8.747864	6.698775	8.6624
9.084320	6.711147	8.9787
9.420776	6.724677	9.2868
9.757233	6.738306	9.5927
10.093689	6.752045	9.8927
10.430145	6.765950	10.1983
10.766602	6.780684	10.4954
11.103058	6.794860	10.7921
11.439514	6.809293	11.0952
11.775970	6.825793	11.3967
12.112427	6.841181	11.6849
12.448883	6.857741	11.9872
12.785339	6.874881	12.2742
13.121796	6.891521	12.5634
13.458252	6.909237	12.8596
13.794708	6.927238	13.1460
14.131165	6.946463	13.4377
14.467621	6.964458	13.7236
14.804077	6.986028	14.0244
15.140533	7.006057	14.2931
15.476990	7.028805	14.5936
15.813446	7.048452	14.8482
16.149902	7.072636	15.1551
16.486359	7.093000	15.4672
16.822815	7.138374	15.6810
17.159271	7.135167	15.8291
17.495728	7.164761	16.2728
17.832184	7.196164	16.5163
18.168640	7.229067	16.7593
18.505096	7.261416	16.9758
18.841553	7.290818	17.1202
19.178009	7.314943	17.2559
19.514465	7.326377	17.3968
19.850922	7.338583	17.6076
20.187378	7.346697	17.8611
20.523834	7.364491	18.1537
20.860291	7.378719	18.4195
21.196747	7.396705	18.7526
21.533203	7.421818	19.0539
21.869659	7.443717	19.3410
22.206116	7.470341	19.6576
22.542572	7.497851	19.9336
22.879028	7.526577	20.2264
23.215485	7.556942	20.4927
23.551941	7.585074	20.7422
23.888397	7.612786	21.0445
24.224854	7.649017	21.2971
24.561310	7.678380	21.5465
24.897766	7.710749	21.7928
25.234222	7.740096	22.0569
25.570679	7.775786	22.3280
25.907135	7.810202	22.5604
26.243591	7.844265	22.8112
26.580048	7.876118	23.0536
26.916504	7.914479	23.3384
27.252960	7.951701	23.5531
27.589417	7.987817	23.8172
27.925873	8.026903	24.0594
28.262329	8.066667	24.3016
28.598785	8.106034	24.5405
28.935242	8.146900	24.7791
29.271698	8.188196	25.0166
29.608154	8.230092	25.2494
29.944611	8.271955	25.4889
30.281067	8.317657	25.7309
30.617523	8.361822	25.9463
30.953979	8.407194	26.1887
31.290436	8.454171	26.4098
31.626892	8.502133	26.6396
31.963348	8.550365	26.8581
32.299805	8.600849	27.0820
32.636261	8.650290	27.2935
32.972717	8.703051	27.5232
33.309174	8.757135	27.7309
33.645630	8.814303	27.9348
33.982086	8.868013	28.1025
34.318542	8.919322	28.3088
34.654999	8.974401	28.5262
34.991455	9.034305	28.7481
35.327911	9.096003	28.9418
35.664368	9.158291	29.1419
36.000824	9.221952	29.3271
36.337280	9.287406	29.5218
36.673737	9.354147	29.6979
37.010193	9.422495	29.8856
37.346649	9.492935	30.0554
37.683105	9.564266	30.2327
38.019562	9.638763	30.4006
38.356018	9.714192	30.5609
38.692474	9.791690	30.7240
39.028931	9.872160	30.8715
39.365387	9.952638	31.0177
39.701843	10.036084	31.1601
40.038300	10.121524	31.2987
40.374756	10.209871	31.4281
40.711212	10.299352	31.5481
41.047668	10.391623	31.6711
41.384125	10.486526	31.7792
41.720581	10.585588	31.8914
42.057037	10.687989	31.9647
42.393494	10.787632	32.0392
42.729950	10.891887	32.1229
43.066406	11.001598	32.1901
43.402863	11.114569	32.2326
43.739319	11.224453	32.2517
44.075775	11.336864	32.3041
44.412231	11.456379	32.3399
44.748688	11.581992	32.3697
45.085144	11.713284	32.3659
45.421600	11.846053	32.3382
45.758057	11.982292	32.2978
46.094513	12.124768	32.2346
46.430969	12.263855	32.1216
46.767426	12.411552	32.0316
47.103882	12.546682	31.8488
47.440338	12.690947	31.7942
47.776794	12.856385	31.6233
48.113251	13.006926	31.3350
48.449707	13.129972	31.1281
48.786163	13.250308	30.9775
49.122620	13.402046	31.0151
49.459076	13.592302	30.8857
49.795532	13.787475	30.6936
50.131989	13.976825	30.4253
50.468445	14.172754	30.1351
50.804901	14.367764	29.8106
51.141357	14.565721	29.4419
51.477814	14.766789	29.0635
51.814270	14.971759	28.6239
52.150726	15.175252	28.1650
52.487183	15.384068	27.6672
52.823639	15.592441	27.1217
53.160095	15.799109	26.5430
53.496552	16.004793	25.9287
53.833008	16.210121	25.2871
54.169464	16.417744	24.6019
54.505920	16.620541	23.8587
54.842377	16.813917	23.0939
55.178833	17.006729	22.2934
55.515289	17.190271	21.4699
55.851746	17.377844	20.6160
56.188202	17.556913	19.6978
56.524658	17.724094	18.7521
56.861115	17.883654	17.7664
57.197571	18.028400	16.7495
57.534027	18.161831	15.7040
57.870483	18.278425	14.6337
58.206940	18.381649	13.5596
58.543396	18.478083	12.4566
58.879852	18.553774	11.3198
59.216309	18.613506	10.1813
59.552765	18.657833	9.0159
59.889221	18.678110	7.8470
60.225677	18.683414	6.6846
60.562134	18.671347	5.5164
60.898590	18.639526	4.3499
61.235046	18.589609	3.1965
61.571503	18.522057	2.0541
61.907959	18.437706	0.9338
62.244415	18.339922	-0.1736
62.580872	18.223141	-1.2584
62.917328	18.094557	-2.3131
63.253784	17.951088	-3.3418
63.590240	17.797132	-4.3354
63.926697	17.631695	-5.2988
64.263153	17.458031	-6.2268
64.599609	17.272146	-7.1196
64.936066	17.083818	-7.9628
65.272522	16.886812	-8.7834
65.608978	16.684267	-9.5506
65.945435	16.480106	-10.2741
66.281891	16.274378	-10.9664
66.618347	16.065527	-11.6131
66.954803	15.857750	-12.2260
67.291260	15.646593	-12.7995
67.627716	15.437978	-13.3243
67.964172	15.232041	-13.8133
68.300629	15.029194	-14.2776
68.637085	14.824628	-14.6996
68.973541	14.626692	-15.0875
69.309998	14.429235	-15.4497
69.646454	14.234361	-15.7725
69.982910	14.044675	-16.0648
70.319366	13.857433	-16.3291
70.655823	13.674760	-16.5627
70.992279	13.495680	-16.7739
71.328735	13.318621	-16.9528
71.665192	13.147436	-17.1026
72.001648	12.979757	-17.2290
72.338104	12.814118	-17.3195
72.674561	12.663287	-17.3674
73.011017	12.516179	-17.4662
73.347473	12.362732	-17.5238
73.683929	12.215688	-17.5470
74.020386	12.073207	-17.5512
74.356842	11.935313	-17.5352
74.693298	11.801098	-17.5054
75.029755	11.671665	-17.4516
75.366211	11.546415	-17.3944
75.702667	11.423827	-17.3134
76.039124	11.306497	-17.2241
76.375580	11.191807	-17.1207
76.712036	11.080624	-17.0060
77.048492	10.973685	-16.8735
77.384949	10.870538	-16.7399
77.721405	10.769829	-16.5939
78.057861	10.672124	-16.4362
78.394318	10.578866	-16.2709
78.730774	10.486716	-16.1006
79.067230	10.398925	-15.9142
79.403687	10.313757	-15.7275
79.740143	10.231455	-15.5337
80.076599	10.150945	-15.3317
80.413055	10.074353	-15.1225
80.749512	9.999691	-14.9128
81.085968	9.927151	-14.6962
81.422424	9.857243	-14.4751
81.758881	9.788886	-14.2490
82.095337	9.723528	-14.0166
82.431793	9.659928	-13.7793
82.768250	9.600315	-13.5431
83.104706	9.540040	-13.3121
83.441162	9.482262	-13.0629
83.777618	9.427424	-12.8188
84.114075	9.373980	-12.5728
84.450531	9.322088	-12.3269
84.786987	9.272006	-12.0763
85.123444	9.223166	-11.8294
85.459900	9.175893	-11.5739
85.796356	9.130251	-11.3190
86.132812	9.087524	-11.0636
86.469269	9.044462	-10.8156
86.805725	9.002995	-10.5588
87.142181	8.963231	-10.2994
87.478638	8.924841	-10.0454
87.815094	8.887913	-9.7830
88.151550	8.852825	-9.5300
88.488007	8.818197	-9.2776
88.824463	8.784234	-9.0226
89.160919	8.751607	-8.7668
89.497375	8.720525	-8.5077
89.833832	8.690609	-8.2561
90.170288	8.661106	-8.0011
90.506744	8.633223	-7.7473
90.843201	8.605901	-7.4961
91.179657	8.579579	-7.2450
91.516113	8.553788	-6.9934
91.852570	8.529707	-6.7406
92.189026	8.506156	-6.4983
92.525482	8.482211	-6.2476
92.861938	8.460722	-5.9987
93.198395	8.439474	-5.7554
93.534851	8.418196	-5.5149
93.871307	8.397925	-5.2646
94.207764	8.379650	-5.0242
94.544220	8.360358	-4.7914
94.880676	8.341479	-4.5417
95.217133	8.325681	-4.3073
95.553589	8.307643	-4.0724
95.890045	8.292152	-3.8317
96.226501	8.277113	-3.6026
96.562958	8.261452	-3.3734
96.899414	8.246921	-3.1397
97.235870	8.232957	-2.9129
97.572327	8.219090	-2.6826
97.908783	8.206463	-2.4560
98.245239	8.193837	-2.2302
98.581696	8.181870	-2.0082
98.918152	8.170002	-1.7818
