	Rta frec 0°		
Frequency (Hz)	Level (dB)

11.139739	-58.48
11.301211	-58.30
11.465025	-58.14
11.631213	-57.98
11.799810	-57.83
11.970850	-57.70
12.144370	-57.58
12.320405	-57.47
12.498992	-57.38
12.680168	-57.29
12.863969	-57.22
13.050435	-57.16
13.239604	-57.12
13.431515	-57.09
13.626208	-57.07
13.823722	-57.07
14.024100	-57.08
14.227382	-57.10
14.433611	-57.16
14.642829	-57.21
14.855080	-57.28
15.070408	-57.39
15.288856	-57.49
15.510471	-57.63
15.735299	-57.78
15.963385	-57.96
16.194778	-58.16
16.429525	-58.38
16.667674	-58.61
16.909275	-58.89
17.154379	-59.15
17.403035	-59.47
17.655296	-59.77
17.911213	-60.07
18.170840	-60.44
18.434230	-60.76
18.701438	-61.08
18.972519	-61.42
19.247530	-61.76
19.526527	-62.07
19.809568	-62.38
20.096712	-62.67
20.388018	-62.96
20.683546	-63.22
20.983358	-63.47
21.287517	-63.70
21.596084	-63.91
21.909123	-64.10
22.226701	-64.26
22.548881	-64.41
22.875732	-64.53
23.207320	-64.64
23.543715	-64.74
23.884986	-64.84
24.231204	-64.95
24.582441	-65.04
24.938768	-65.14
25.300261	-65.24
25.666993	-65.34
26.039042	-65.42
26.416483	-65.50
26.799396	-65.57
27.187858	-65.62
27.581952	-65.66
27.981758	-65.69
28.387360	-65.70
28.798840	-65.71
29.216286	-65.70
29.639782	-65.68
30.069416	-65.66
30.505279	-65.62
30.947459	-65.58
31.396049	-65.53
31.851141	-65.48
32.312830	-65.42
32.781212	-65.34
33.256382	-65.22
33.738440	-65.03
34.227486	-64.73
34.723620	-64.31
35.226947	-63.77
35.737568	-63.12
36.255592	-62.43
36.781124	-61.69
37.314274	-60.97
37.855152	-60.27
38.403871	-59.61
38.960543	-58.99
39.525284	-58.44
40.098211	-57.95
40.679443	-57.53
41.269100	-57.19
41.867304	-56.92
42.474180	-56.70
43.089852	-56.54
43.714448	-56.41
44.348098	-56.31
44.990933	-56.21
45.643086	-56.12
46.304692	-56.02
46.975888	-55.89
47.656813	-55.73
48.347609	-55.51
49.048418	-55.25
49.759385	-54.92
50.480657	-54.53
51.212385	-54.10
51.954719	-53.63
52.707813	-53.15
53.471824	-52.65
54.246909	-52.14
55.033230	-51.58
55.830948	-51.00
56.640229	-50.38
57.461241	-49.76
58.294153	-49.15
59.139139	-48.59
59.996373	-48.08
60.866033	-47.64
61.748299	-47.30
62.643354	-47.06
63.551382	-46.90
64.472573	-46.82
65.407116	-46.81
66.355206	-46.83
67.317038	-46.86
68.292813	-46.88
69.282731	-46.90
70.286999	-46.97
71.305824	-47.13
72.339416	-47.39
73.387991	-47.75
74.451765	-48.21
75.530959	-48.73
76.625796	-49.26
77.736503	-49.71
78.863310	-49.98
80.006450	-49.99
81.166160	-49.75
82.342680	-49.36
83.536255	-48.95
84.747130	-48.61
85.975557	-48.42
87.221791	-48.28
88.486089	-48.05
89.768713	-47.61
91.069929	-46.96
92.390007	-46.14
93.729219	-45.28
95.087844	-44.49
96.466162	-43.99
97.864459	-43.90
99.283025	-44.03
100.722153	-44.01
102.182141	-43.82
103.663293	-43.67
105.165914	-43.55
106.690316	-43.31
108.236814	-42.68
109.805729	-41.68
111.397386	-40.86
113.012114	-40.58
114.650248	-40.80
116.312128	-41.30
117.998096	-41.55
119.708503	-41.25
121.443703	-40.74
123.204054	-40.41
124.989923	-40.33
126.801678	-40.03
128.639694	-39.57
130.504354	-39.56
132.396041	-39.93
134.315150	-40.38
136.262076	-40.84
138.237223	-41.03
140.241000	-40.70
142.273823	-40.21
144.336111	-40.17
146.428293	-40.74
148.550802	-41.49
150.704076	-42.09
152.888563	-42.29
155.104715	-41.96
157.352990	-41.43
159.633854	-41.58
161.947780	-42.65
164.295247	-43.99
166.676741	-44.67
169.092755	-44.65
171.543790	-44.48
174.030353	-44.35
176.552959	-44.63
179.112131	-45.56
181.708398	-46.40
184.342299	-46.64
187.014379	-46.47
189.725192	-46.06
192.475298	-46.36
195.265267	-46.90
198.095678	-47.04
200.967116	-46.20
203.880176	-45.77
206.835462	-46.67
209.833585	-47.49
212.875166	-47.54
215.960836	-47.67
219.091233	-48.45
222.267006	-49.03
225.488813	-47.88
228.757320	-45.93
232.073205	-44.81
235.437154	-44.38
238.849865	-44.96
242.312043	-45.18
245.824407	-45.60
249.387683	-47.18
253.002609	-47.73
256.669935	-47.92
260.390419	-48.24
264.164832	-48.96
267.993956	-47.97
271.878584	-46.99
275.819521	-47.04
279.817582	-45.87
283.873596	-45.32
287.988403	-45.72
292.162855	-47.43
296.397817	-46.39
300.694165	-45.67
305.052789	-46.22
309.474593	-46.83
313.960491	-47.29
318.511414	-47.17
323.128303	-46.41
327.812115	-46.52
332.563820	-48.38
337.384402	-49.02
342.274859	-50.42
347.236204	-50.94
352.269465	-49.85
357.375684	-46.78
362.555919	-45.33
367.811243	-46.07
373.142743	-43.90
378.551525	-44.87
384.038708	-46.14
389.605429	-46.86
395.252841	-47.49
400.982113	-47.48
406.794432	-48.21
412.691002	-48.29
418.673044	-47.58
424.741797	-47.81
430.898518	-46.12
437.144481	-45.37
443.480981	-47.07
449.909331	-48.34
456.430860	-48.99
463.046920	-51.29
469.758882	-55.63
476.568134	-54.98
483.476089	-52.11
490.484175	-50.46
497.593845	-50.69
504.806572	-48.85
512.123848	-47.35
519.547190	-48.39
527.078134	-49.10
534.718242	-49.74
542.469094	-49.05
550.332296	-47.53
558.309477	-45.52
566.402289	-44.28
574.612408	-44.39
582.941535	-45.33
591.391394	-47.35
599.963735	-47.90
608.660334	-47.62
617.482992	-49.36
626.433537	-48.34
635.513821	-47.76
644.725726	-47.52
654.071160	-47.47
663.552057	-46.14
673.170382	-46.78
682.928127	-46.61
692.827312	-45.59
702.869989	-44.85
713.058235	-47.09
723.394163	-47.36
733.879912	-47.26
744.517654	-46.54
755.309592	-45.93
766.257962	-46.46
777.365030	-46.99
788.633098	-47.97
800.064499	-47.64
811.661600	-46.77
823.426804	-46.29
835.362547	-47.35
847.471301	-50.12
859.755574	-50.18
872.217910	-47.85
884.860890	-46.21
897.687132	-46.24
910.699294	-48.07
923.900070	-48.42
937.292194	-49.62
950.878439	-48.60
964.661620	-48.91
978.644591	-47.64
992.830248	-46.29
1007.221529	-46.42
1021.821414	-47.73
1036.632928	-49.29
1051.659138	-56.08
1066.903156	-57.58
1082.368140	-52.78
1098.057291	-52.28
1113.973860	-51.83
1130.121143	-49.09
1146.502484	-48.31
1163.121276	-50.87
1179.980961	-51.85
1197.085030	-46.99
1214.437027	-46.08
1232.040544	-47.50
1249.899229	-47.35
1268.016778	-46.95
1286.396945	-46.02
1305.043536	-44.79
1323.960414	-45.95
1343.151496	-48.76
1362.620756	-49.24
1382.372227	-48.19
1402.410000	-48.50
1422.738225	-48.08
1443.361112	-47.14
1464.282931	-48.29
1485.508017	-49.63
1507.040765	-48.69
1528.885634	-48.58
1551.047150	-51.43
1573.529901	-50.81
1596.338544	-51.53
1619.477804	-50.82
1642.952471	-50.32
1666.767409	-51.86
1690.927550	-53.50
1715.437896	-52.43
1740.303526	-49.15
1765.529587	-50.26
1791.121306	-49.95
1817.083982	-50.33
1843.422992	-50.66
1870.143792	-51.26
1897.251916	-51.05
1924.752977	-51.03
1952.652672	-51.81
1980.956779	-53.10
2009.671159	-54.09
2038.801761	-52.46
2068.354617	-51.97
2098.335847	-55.25
2128.751662	-53.92
2159.608360	-51.83
2190.912333	-52.05
2222.670063	-54.52
2254.888128	-54.03
2287.573200	-54.85
2320.732050	-54.04
2354.371544	-54.12
2388.498649	-54.32
2423.120434	-53.70
2458.244069	-55.08
2493.876828	-57.05
2530.026092	-53.85
2566.699346	-53.86
2603.904187	-55.54
2641.648320	-56.49
2679.939562	-55.78
2718.785844	-57.55
2758.195211	-56.01
2798.175824	-55.70
2838.735965	-55.55
2879.884033	-57.02
2921.628551	-57.59
2963.978165	-55.87
3006.941645	-57.07
3050.527890	-55.80
3094.745927	-55.00
3139.604913	-55.33
3185.114139	-55.39
3231.283032	-56.46
3278.121151	-54.80
3325.638200	-54.90
3373.844017	-54.24
3422.748588	-55.09
3472.362041	-56.15
3522.694651	-54.35
3573.756843	-54.01
3625.559192	-53.94
3678.112427	-54.06
3731.427432	-53.89
3785.515249	-53.07
3840.387080	-54.15
3896.054290	-54.52
3952.528408	-54.56
4009.821129	-54.00
4067.944321	-53.57
4126.910020	-54.86
4186.730440	-54.84
4247.417969	-54.03
4308.985176	-53.89
4371.444813	-53.30
4434.809815	-53.73
4499.093306	-53.30
4564.308599	-52.64
4630.469202	-52.16
4697.588817	-51.89
4765.681344	-53.05
4834.760887	-52.15
4904.841752	-52.55
4975.938453	-52.06
5048.065717	-52.14
5121.238480	-52.78
5195.471897	-52.07
5270.781343	-52.22
5347.182415	-52.56
5424.690937	-52.07
5503.322961	-51.26
5583.094772	-51.18
5664.022893	-51.53
5746.124083	-52.14
5829.415347	-52.43
5913.913936	-53.24
5999.637349	-54.46
6086.603340	-55.20
6174.829922	-56.31
6264.335367	-56.74
6355.138211	-57.42
6447.257262	-58.35
6540.711597	-58.26
6635.520573	-58.34
6731.703824	-58.54
6829.281272	-57.92
6928.273125	-57.92
7028.699885	-57.68
7130.582353	-57.52
7233.941627	-57.76
7338.799116	-58.02
7445.176537	-57.99
7553.095920	-58.10
7662.579617	-58.69
7773.650302	-58.82
7886.330981	-57.73
8000.644989	-57.97
8116.616003	-57.17
8234.268041	-57.20
8353.625470	-57.15
8474.713009	-57.52
8597.555737	-58.32
8722.179097	-59.60
8848.608897	-60.51
8976.871324	-61.82
9106.992942	-62.81
9239.000700	-64.73
9372.921937	-66.73
9508.784391	-68.65
9646.616199	-67.14
9786.445908	-68.18
9928.302478	-69.24
10072.215288	-71.00
10218.214144	-72.06
10366.329284	-72.95
10516.591384	-74.68
10669.031565	-76.96
10823.681397	-78.34
10980.572911	-79.96
11139.738600	-81.23
11301.211429	-82.24
11465.024840	-82.78
11631.212760	-82.21
11799.809609	-82.61
11970.850305	-82.16
12144.370271	-81.76
12320.405445	-82.00
12498.992285	-81.54
12680.167779	-81.82
12863.969449	-82.54
13050.435363	-83.05
13239.604139	-84.67
13431.514956	-85.09
13626.207560	-86.30
13823.722274	-87.54
14024.100004	-89.14
14227.382252	-90.42
14433.611118	-91.33
14642.829314	-92.86
14855.080172	-94.77
15070.407650	-96.05
15288.856344	-97.64
15510.471498	-97.88
15735.299010	-97.60
15963.385443	-97.74
16194.778036	-97.19
16429.524714	-98.83
16667.674093	-97.24
16909.275497	-93.97
17154.378963	-93.52
17403.035256	-94.46
17655.295873	-99.98
17911.213060	-102.02
18170.839820	-97.50
18434.229924	-95.77
18701.437922	-94.86
18972.519156	-93.40
19247.529769	-92.74
19526.526718	-93.38
19809.567786	-95.47
20096.711592	-102.27
20388.017608	-106.99
20683.546166	-107.08
20983.358471	-107.04
21287.516618	-106.59
21596.083601	-106.65
21909.123326	-106.73
22226.700627	-106.89
