	150		
Frequency (Hz)	Level (dB)

11.139739	-63.38
11.301211	-63.08
11.465025	-62.79
11.631213	-62.49
11.799810	-62.18
11.970850	-61.87
12.144370	-61.58
12.320405	-61.29
12.498992	-61.00
12.680168	-60.72
12.863969	-60.44
13.050435	-60.15
13.239604	-59.90
13.431515	-59.65
13.626208	-59.41
13.823722	-59.15
14.024100	-58.94
14.227382	-58.74
14.433611	-58.53
14.642829	-58.35
14.855080	-58.18
15.070408	-58.01
15.288856	-57.88
15.510471	-57.75
15.735299	-57.64
15.963385	-57.55
16.194778	-57.48
16.429525	-57.42
16.667674	-57.39
16.909275	-57.39
17.154379	-57.40
17.403035	-57.46
17.655296	-57.54
17.911213	-57.65
18.170840	-57.82
18.434230	-58.00
18.701438	-58.23
18.972519	-58.51
19.247530	-58.84
19.526527	-59.20
19.809568	-59.60
20.096712	-60.04
20.388018	-60.51
20.683546	-60.99
20.983358	-61.47
21.287517	-61.94
21.596084	-62.38
21.909123	-62.78
22.226701	-63.12
22.548881	-63.42
22.875732	-63.67
23.207320	-63.89
23.543715	-64.10
23.884986	-64.30
24.231204	-64.52
24.582441	-64.74
24.938768	-64.97
25.300261	-65.25
25.666993	-65.53
26.039042	-65.85
26.416483	-66.21
26.799396	-66.59
27.187858	-67.04
27.581952	-67.51
27.981758	-68.06
28.387360	-68.66
28.798840	-69.30
29.216286	-70.01
29.639782	-70.73
30.069416	-71.44
30.505279	-72.13
30.947459	-72.76
31.396049	-73.28
31.851141	-73.68
32.312830	-73.91
32.781212	-73.98
33.256382	-73.86
33.738440	-73.57
34.227486	-73.12
34.723620	-72.55
35.226947	-71.88
35.737568	-71.14
36.255592	-70.37
36.781124	-69.57
37.314274	-68.76
37.855152	-67.95
38.403871	-67.15
38.960543	-66.37
39.525284	-65.65
40.098211	-64.96
40.679443	-64.33
41.269100	-63.77
41.867304	-63.26
42.474180	-62.81
43.089852	-62.40
43.714448	-62.03
44.348098	-61.71
44.990933	-61.40
45.643086	-61.10
46.304692	-60.78
46.975888	-60.42
47.656813	-60.03
48.347609	-59.62
49.048418	-59.24
49.759385	-58.92
50.480657	-58.64
51.212385	-58.40
51.954719	-58.15
52.707813	-57.85
53.471824	-57.48
54.246909	-57.06
55.033230	-56.64
55.830948	-56.25
56.640229	-55.91
57.461241	-55.64
58.294153	-55.43
59.139139	-55.27
59.996373	-55.13
60.866033	-54.95
61.748299	-54.67
62.643354	-54.23
63.551382	-53.63
64.472573	-52.88
65.407116	-52.06
66.355206	-51.29
67.317038	-50.66
68.292813	-50.23
69.282731	-49.97
70.286999	-49.88
71.305824	-49.95
72.339416	-50.19
73.387991	-50.64
74.451765	-51.33
75.530959	-52.26
76.625796	-53.36
77.736503	-54.53
78.863310	-55.68
80.006450	-56.73
81.166160	-57.60
82.342680	-58.23
83.536255	-58.58
84.747130	-58.60
85.975557	-58.22
87.221791	-57.45
88.486089	-56.36
89.768713	-55.19
91.069929	-54.14
92.390007	-53.25
93.729219	-52.44
95.087844	-51.63
96.466162	-50.68
97.864459	-49.60
99.283025	-48.63
100.722153	-47.91
102.182141	-47.43
103.663293	-47.08
105.165914	-46.66
106.690316	-46.01
108.236814	-45.35
109.805729	-44.93
111.397386	-44.72
113.012114	-44.61
114.650248	-44.55
116.312128	-44.54
117.998096	-44.73
119.708503	-45.14
121.443703	-45.62
123.204054	-46.06
124.989923	-46.38
126.801678	-46.47
128.639694	-46.55
130.504354	-47.10
132.396041	-47.53
134.315150	-46.96
136.262076	-45.96
138.237223	-45.57
140.241000	-45.89
142.273823	-45.73
144.336111	-44.98
146.428293	-44.57
148.550802	-45.03
150.704076	-45.82
152.888563	-46.36
155.104715	-46.83
157.352990	-47.21
159.633854	-47.04
161.947780	-46.95
164.295247	-47.56
166.676741	-48.10
169.092755	-48.32
171.543790	-48.81
174.030353	-49.61
176.552959	-50.08
179.112131	-49.96
181.708398	-49.39
184.342299	-48.79
187.014379	-48.49
189.725192	-48.11
192.475298	-47.57
195.265267	-46.35
198.095678	-45.62
200.967116	-45.80
203.880176	-46.29
206.835462	-47.17
209.833585	-48.25
212.875166	-49.45
215.960836	-51.09
219.091233	-52.35
222.267006	-53.24
225.488813	-53.98
228.757320	-54.51
232.073205	-55.68
235.437154	-57.73
238.849865	-55.19
242.312043	-51.74
245.824407	-50.59
249.387683	-51.32
253.002609	-52.65
256.669935	-53.34
260.390419	-53.06
264.164832	-53.52
267.993956	-53.65
271.878584	-53.15
275.819521	-52.31
279.817582	-52.54
283.873596	-53.93
287.988403	-55.57
292.162855	-54.21
296.397817	-53.35
300.694165	-53.44
305.052789	-53.70
309.474593	-53.30
313.960491	-51.61
318.511414	-49.75
323.128303	-49.44
327.812115	-51.50
332.563820	-52.82
337.384402	-53.77
342.274859	-55.89
347.236204	-57.42
352.269465	-59.43
357.375684	-61.26
362.555919	-62.19
367.811243	-63.38
373.142743	-59.06
378.551525	-56.01
384.038708	-55.81
389.605429	-56.62
395.252841	-56.91
400.982113	-57.44
406.794432	-56.56
412.691002	-57.04
418.673044	-58.50
424.741797	-56.21
430.898518	-54.89
437.144481	-54.53
443.480981	-52.64
449.909331	-52.07
456.430860	-51.30
463.046920	-51.83
469.758882	-51.32
476.568134	-51.82
483.476089	-53.74
490.484175	-60.88
497.593845	-70.09
504.806572	-72.84
512.123848	-65.44
519.547190	-59.79
527.078134	-58.25
534.718242	-59.88
542.469094	-63.67
550.332296	-62.73
558.309477	-60.43
566.402289	-64.90
574.612408	-61.03
582.941535	-57.74
591.391394	-54.35
599.963735	-57.51
608.660334	-64.69
617.482992	-61.25
626.433537	-59.29
635.513821	-57.50
644.725726	-54.89
654.071160	-53.95
663.552057	-55.16
673.170382	-57.89
682.928127	-59.72
692.827312	-59.95
702.869989	-58.29
713.058235	-61.09
723.394163	-72.45
733.879912	-63.11
744.517654	-56.64
755.309592	-52.14
766.257962	-50.19
777.365030	-51.62
788.633098	-52.38
800.064499	-54.06
811.661600	-60.93
823.426804	-67.30
835.362547	-61.71
847.471301	-58.51
859.755574	-57.03
872.217910	-58.25
884.860890	-54.89
897.687132	-55.52
910.699294	-58.01
923.900070	-65.61
937.292194	-60.76
950.878439	-56.67
964.661620	-56.88
978.644591	-62.13
992.830248	-66.19
1007.221529	-58.51
1021.821414	-58.96
1036.632928	-62.46
1051.659138	-67.99
1066.903156	-61.92
1082.368140	-57.37
1098.057291	-54.94
1113.973860	-56.49
1130.121143	-60.91
1146.502484	-64.63
1163.121276	-60.56
1179.980961	-58.93
1197.085030	-51.70
1214.437027	-48.74
1232.040544	-49.83
1249.899229	-53.22
1268.016778	-64.25
1286.396945	-63.11
1305.043536	-57.56
1323.960414	-54.93
1343.151496	-52.24
1362.620756	-52.27
1382.372227	-53.40
1402.410000	-57.06
1422.738225	-64.08
1443.361112	-65.22
1464.282931	-57.71
1485.508017	-56.56
1507.040765	-57.16
1528.885634	-60.98
1551.047150	-64.18
1573.529901	-62.49
1596.338544	-59.32
1619.477804	-56.67
1642.952471	-55.73
1666.767409	-57.16
1690.927550	-61.30
1715.437896	-64.85
1740.303526	-63.47
1765.529587	-61.09
1791.121306	-63.68
1817.083982	-69.53
1843.422992	-66.40
1870.143792	-64.99
1897.251916	-63.95
1924.752977	-70.69
1952.652672	-70.35
1980.956779	-64.27
2009.671159	-61.15
2038.801761	-65.69
2068.354617	-69.07
2098.335847	-71.99
2128.751662	-74.12
2159.608360	-70.35
2190.912333	-71.98
2222.670063	-72.14
2254.888128	-72.87
2287.573200	-72.57
2320.732050	-69.41
2354.371544	-71.98
2388.498649	-74.70
2423.120434	-77.07
2458.244069	-78.76
2493.876828	-82.36
2530.026092	-73.66
2566.699346	-72.14
2603.904187	-81.08
2641.648320	-78.16
2679.939562	-76.97
2718.785844	-73.74
2758.195211	-69.96
2798.175824	-74.20
2838.735965	-75.61
2879.884033	-74.72
2921.628551	-75.02
2963.978165	-71.68
3006.941645	-71.75
3050.527890	-75.27
3094.745927	-77.18
3139.604913	-75.85
3185.114139	-71.28
3231.283032	-71.59
3278.121151	-71.02
3325.638200	-77.07
3373.844017	-71.60
3422.748588	-74.43
3472.362041	-78.25
3522.694651	-77.65
3573.756843	-77.02
3625.559192	-79.26
3678.112427	-82.14
3731.427432	-84.08
3785.515249	-80.15
3840.387080	-81.89
3896.054290	-84.32
3952.528408	-83.44
4009.821129	-78.70
4067.944321	-73.91
4126.910020	-77.59
4186.730440	-82.35
4247.417969	-83.04
4308.985176	-77.72
4371.444813	-76.72
4434.809815	-75.88
4499.093306	-71.22
4564.308599	-73.56
4630.469202	-73.54
4697.588817	-70.05
4765.681344	-79.46
4834.760887	-75.84
4904.841752	-76.48
4975.938453	-75.32
5048.065717	-76.30
5121.238480	-76.89
5195.471897	-77.48
5270.781343	-74.84
5347.182415	-81.40
5424.690937	-84.29
5503.322961	-84.00
5583.094772	-80.84
5664.022893	-83.94
5746.124083	-75.94
5829.415347	-79.06
5913.913936	-77.33
5999.637349	-76.27
6086.603340	-78.86
6174.829922	-80.55
6264.335367	-82.66
6355.138211	-78.86
6447.257262	-84.28
6540.711597	-82.40
6635.520573	-85.81
6731.703824	-81.96
6829.281272	-83.10
6928.273125	-82.08
7028.699885	-82.13
7130.582353	-86.08
7233.941627	-87.72
7338.799116	-83.25
7445.176537	-83.95
7553.095920	-81.74
7662.579617	-83.09
7773.650302	-88.64
7886.330981	-84.32
8000.644989	-84.11
8116.616003	-84.29
8234.268041	-80.57
8353.625470	-81.45
8474.713009	-81.11
8597.555737	-88.51
8722.179097	-90.42
8848.608897	-86.47
8976.871324	-87.34
9106.992942	-84.07
9239.000700	-94.00
9372.921937	-91.12
9508.784391	-93.03
9646.616199	-90.00
9786.445908	-93.17
9928.302478	-90.73
10072.215288	-91.62
10218.214144	-93.27
10366.329284	-92.39
10516.591384	-94.75
10669.031565	-94.15
10823.681397	-95.25
10980.572911	-94.85
11139.738600	-99.73
11301.211429	-95.53
11465.024840	-91.47
11631.212760	-90.22
11799.809609	-90.16
11970.850305	-95.11
12144.370271	-97.91
12320.405445	-97.15
12498.992285	-100.58
12680.167779	-101.15
12863.969449	-99.03
13050.435363	-100.92
13239.604139	-98.34
13431.514956	-97.54
13626.207560	-102.88
13823.722274	-98.99
14024.100004	-98.31
14227.382252	-99.68
14433.611118	-99.02
14642.829314	-100.35
14855.080172	-98.56
15070.407650	-97.27
15288.856344	-99.91
15510.471498	-102.21
15735.299010	-102.23
15963.385443	-101.03
16194.778036	-100.89
16429.524714	-91.69
16667.674093	-96.28
16909.275497	-101.52
17154.378963	-103.88
17403.035256	-103.16
17655.295873	-104.11
17911.213060	-103.42
18170.839820	-103.78
18434.229924	-106.40
18701.437922	-105.84
18972.519156	-106.22
19247.529769	-104.49
19526.526718	-107.50
19809.567786	-105.28
20096.711592	-103.36
20388.017608	-98.61
20683.546166	-98.49
20983.358471	-97.25
21287.516618	-106.04
21596.083601	-107.39
21909.123326	-101.38
22226.700627	-96.16
